defect_id,parameter_set_id,record_table,record_id,fund_id,defect_type,field_name,clean_value,injected_value,expected_rule_id,seed,notes
DEFECT_000001,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000478_20200630,FUND_SYNTH_000478,tvpi_component_mismatch,tvpi,1.227748,1.477748,R02_TVPI_COMPONENTS,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000002,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000277_20230630,FUND_SYNTH_000277,dpi_recompute_mismatch,dpi,0.044303,0.244303,R03_DPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000003,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000160_20220930,FUND_SYNTH_000160,rvpi_recompute_mismatch,rvpi,0.805558,1.005558,R04_RVPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000004,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000659_20201231,FUND_SYNTH_000659,commitment_reconciliation_mismatch,unfunded_commitment,122.60,177.93,R06_COMMITMENT_RECONCILIATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000005,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000240_20200630,FUND_SYNTH_000240,nav_rollforward_mismatch,ending_nav,555.24,610.76,R07_NAV_ROLLFORWARD,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000006,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000494_20160930,FUND_SYNTH_000494,irr_recompute_mismatch,reported_irr,-0.13707888,0.01292112,R08_XIRR_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000007,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000356_001,FUND_SYNTH_000356,cashflow_sign_error,amount,-89.03,89.03,R15_CASHFLOW_SIGN_CONVENTION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000008,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000252_20150630,FUND_SYNTH_000252,impossible_vintage,vintage_year,2014,2027,R09_VINTAGE_DATE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000009,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_SYNTH_000456,FUND_SYNTH_000456,missing_fund_name,fund_name,Synthetic Growth Fund 0456,<BLANK>,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000010,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000342_001_DUP,FUND_SYNTH_000342,duplicate_cashflow,economic_cashflow,unique,duplicate_of:CF_FUND_SYNTH_000342_001,R13_DUPLICATE_CASHFLOW,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000011,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000138_001,FUND_SYNTH_000138,currency_mismatch,currency,USD,EUR,R14_CURRENCY_CONSISTENCY,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000012,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_REAL_COLLISION_000517,FUND_REAL_COLLISION_000517,synthetic_real_identity_collision,fund_id,FUND_SYNTH_000517,FUND_REAL_COLLISION_000517,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000013,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000747_20260331,FUND_SYNTH_000747,tvpi_component_mismatch,tvpi,1.750286,2.000286,R02_TVPI_COMPONENTS,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000014,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000528_20200630,FUND_SYNTH_000528,dpi_recompute_mismatch,dpi,0.000000,0.200000,R03_DPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000015,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000128_20230930,FUND_SYNTH_000128,rvpi_recompute_mismatch,rvpi,1.049544,1.249544,R04_RVPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000016,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000696_20260630,FUND_SYNTH_000696,commitment_reconciliation_mismatch,unfunded_commitment,325.79,382.78,R06_COMMITMENT_RECONCILIATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000017,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000217_20240930,FUND_SYNTH_000217,nav_rollforward_mismatch,ending_nav,594.82,654.30,R07_NAV_ROLLFORWARD,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000018,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000656_20230630,FUND_SYNTH_000656,irr_recompute_mismatch,reported_irr,0.06632666,0.21632666,R08_XIRR_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000019,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000233_001,FUND_SYNTH_000233,cashflow_sign_error,amount,-46.04,46.04,R15_CASHFLOW_SIGN_CONVENTION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000020,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000681_20180630,FUND_SYNTH_000681,impossible_vintage,vintage_year,2018,2027,R09_VINTAGE_DATE,20260903,Deliberate synthetic defect for quality-engine evaluation.
