record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
report_context,report_title,REVIEW OF THIRD QUARTER 2024–25 FISCAL YEAR PERFORMANCE; Private Equity Performance Review; Real Estate Second Quarter 2017; QUARTERLY INVESTMENT REPORT Q1 2026; Private Markets Review; Quarterly Private Equity Board Update; Quarterly Investment Performance Analysis; Quarterly Performance Report; 2Q25 Investment Report; Meeting Materials; KPPA Board Meeting; KPPA Audit Committee Report and Recommendation; Investment Department Update,Printed title identifying the report.,SRC384,10,10,10,100.0,10,1.0,high,high,CORE,,SRC384,1,
report_context,report_date,"For Meeting of May 13, 2025; May 13, 2025; October 2016; March 31, 2025 board update period; August 22, 2025; December 4, 2025",Printed report or meeting date.,SRC384,10,10,6,60.0,6,1.0,high,high,DROP,,SRC384,1,
report_context,period_end,"As of March 31, 2025; All data is as of March 31, 2016; 3/31/2016; 2Q17; June 30, 2017; As of 31 March 2026; As of December 31, 2023; For the period ended March 31, 2025; Period Ended: December 31, 2015; As of December 31, 2015; as of June 30, 2021; As of June 30, 2025; Quarter ending September 30, 2025; As of June 30, 2025",Printed quarter/as-of date governing reported data.,SRC384,10,10,10,100.0,12,1.2,high,high,CORE,,SRC384,1,
report_context,reporting_entity,Office of the Chief Investment Officer of the Regents (UC Investments); Universities Superannuation Scheme Limited; USS Investment Management Limited; Dallas Police & Fire Pension System; Meketa Investment Group; Pennsylvania State Employees Retirement System; StepStone Group; Commonwealth of Pennsylvania State Employees Retirement System; RVK; Pennsylvania Municipal Retirement System; Marquette Associates; Austin Firefighters Retirement Fund; Meketa Investment Group; Kentucky Public Pensions Authority; Kentucky Retirement Systems; County Employees Retirement System,Institution or reporting organization.,SRC384,10,10,10,100.0,10,1.0,high,high,CORE,,SRC384,1,
report_context,portfolio_name,General Endowment Pool; Blue and Gold Endowment Pool; Pension; Working Capital; USS Growth Fund; USS Moderate Growth Fund; USS Bond Fund; Total Private Markets; Private Equity; Infrastructure; Real Estate; Agriculture; Timber; PA SERS PE Portfolio; Core Portfolio; Keystone Legacy Fund; TOTAL FUND; ALTERNATIVE INVESTMENTS; GLOBAL PUBLIC EQUITY; REAL ASSETS; Total Fund Composite; Total Equity Composite; Real Assets Composite; account/manager; Total Fund; Domestic Equity; International Equity; Private Equity; Fixed Income; Real Estate; Natural Resources; Pension Composite; Insurance Composite; KERS Nonhazardous; KERS Hazardous; SPRS; CERS plans,Named portfolio/product/program being summarized.,SRC384,10,10,10,100.0,307,30.7,high,high,CORE,,SRC384,2,
portfolio_summary,market_value,Market Value; stood at; investment portfolios ended; Reported Value; Valuation; Market Value; Ending Market Value; Residual Value; assets under management; Fund Size; NAV; Valuation; Market Value Allocation; Remaining Market Value (RMV); Market Value; Market Value ($M); Ending Market Value ($M); Current Balance; Market Value; Beginning Market Value; Ending Market Value; NAV; Fair Value; Fair Value; Assets Under Management; Total Portfolio,Reported ending market value for a portfolio or sleeve.,SRC384,10,10,10,100.0,578,57.8,high,high,CORE,,SRC384,2,
portfolio_summary,prior_period_market_value,"up from; down from; prior fiscal year; 1Q17; Beginning Market Value; 9/30/2023 NAV; December 31, 2024 Market Value; March 31, 2024; Previous Quarter; September 30, 2015; historical Fair Value; prior fiscal year",Printed comparative prior-period market value.,SRC384,10,10,6,60.0,45,7.5,high,high,DROP,,SRC384,1,Checkpoint 10: standardized into generic repeating measure/value structure.; Checkpoint 10 correction: prior-period value is redundant when the same measure is emitted with its own period context.
portfolio_summary,currency,Millions ($); $; £,Printed currency of monetary amounts.,SRC384,10,10,10,100.0,10,1.0,high,high,MERGED,monetary_unit,SRC384,2,Checkpoint 10: combine printed currency and scale into one unit context.
portfolio_summary,monetary_scale,in Millions ($); billion; m; $ in Thousands; $941k; $4.4MM,Printed scale applying to monetary amounts.,SRC384,10,10,10,100.0,10,1.0,high,high,MERGED,monetary_unit,SRC384,2,Checkpoint 10: combine printed currency and scale into one unit context.
performance_series,performance_scope,Endowment; Public Equity; Fixed Income; Private Equity; Real Estate; Private Credit; Private Equity Portfolio; strategy; partnership; Direct Investments; Funds (Closed-end); Core; Value Added; Opportunistic; Fund performance; Total Private Markets; asset class; Combined Portfolio; Core Buyout; Core Growth Equity; Core Special Situations; Composites; investment managers; Total Fund; Total Fund Composite; asset-class composite; manager; Total Fund; asset class; manager; private-market partnership; Pension; Insurance; Public Equity; Private Equity; Core Fixed Income; Specialty Credit; Real Estate; Real Return; Cash,"Named portfolio, asset class, or sleeve to which a return row applies.",SRC384,10,10,10,100.0,417,41.7,high,high,CORE,,SRC384,2,
