owner_id,owner_kind,owner_role,canonical_name,source_entity_id,owner_fund_id,parent_owner_id,identity_status,identity_confidence,identity_confidence_basis,identity_confidence_reason,decision_id,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
OWNER_CARLYLE_ALPINVEST_PRIVATE_MARKETS_SECONDARIES_FUND,fund,REPORTING_FUND,Carlyle AlpInvest Private Markets Secondaries Fund,,,,RESOLVED,HIGH,fact_observation:2764600d3589b36bdb74 native_anchor=text/document evidence_quote=Carlyle AlpInvest Private Markets Secondaries Fund,The reporting fund owns the schedule rows no footnote routes to a subsidiary.,NATIVEOWN_SRC623_OWNER_CARLYLE_ALPINVEST_PRIVATE_MARKETS_SECONDARIES_FUND,EXTRACTED,SRC623,text,fact_observation:2764600d3589b36bdb74 native_anchor=text/document evidence_quote=Carlyle AlpInvest Private Markets Secondaries Fund,,ACTIVE,
OWNER_FUND_0001,fund,REPORTING_FUND,"Incline Equity Partners III (PSERS), L.P.",FUND_0001,FUND_0001,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC029,1,,,ACTIVE,
OWNER_FUND_0002,fund,REPORTING_FUND,"Milestone Partners II, L.P.",FUND_0002,FUND_0002,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC029,3,,,ACTIVE,
OWNER_FUND_0003,fund,REPORTING_FUND,"New Mountain Partners IV, L.P.",FUND_0003,FUND_0003,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC029,5,,,ACTIVE,
OWNER_FUND_0004,fund,REPORTING_FUND,"Adventure Fund I, L.P.",FUND_0004,FUND_0004,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0005,fund,REPORTING_FUND,Builders VC Fund II,FUND_0005,FUND_0005,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0006,fund,REPORTING_FUND,"Cascade Angels Fund 2016, L.P.",FUND_0006,FUND_0006,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0007,fund,REPORTING_FUND,"Cascade Angels Fund V, LLC",FUND_0007,FUND_0007,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0008,fund,REPORTING_FUND,"Cascade Seed Fund I, LLC",FUND_0008,FUND_0008,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0009,fund,REPORTING_FUND,Cascade Seed Fund II,FUND_0009,FUND_0009,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0010,fund,REPORTING_FUND,"DFJ Frontier Fund II, L.P.",FUND_0010,FUND_0010,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0011,fund,REPORTING_FUND,"Ecotrust Forests II, LLC",FUND_0011,FUND_0011,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0012,fund,REPORTING_FUND,Elevate Capital Fund II,FUND_0012,FUND_0012,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0013,fund,REPORTING_FUND,"Endeavour Capital Fund III, L.P.",FUND_0013,FUND_0013,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0014,fund,REPORTING_FUND,"Enlightened Hospitality Investments, L.P.",FUND_0014,FUND_0014,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0015,fund,REPORTING_FUND,"Epic Venture Fund IV, L.P.",FUND_0015,FUND_0015,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
