input_value,output_value,decided_by,evidence,note
fund_observations:canonical_measure_id,append,"metric vocabulary review, 2026-09-01",metric-semantic-map.csv,The standard measure the matching semantic-map rule assigned; written blank by no rule.
fund_observations:mapping_rule_id,append,"metric vocabulary review, 2026-09-01",metric-semantic-map.csv,The rule id that matched; UNMAPPED where none did.
fund_master:name_hint,append,"metric vocabulary review, 2026-09-01",name-hint-policy.csv,The keyword the fund's own name fired; recorded so a reader sees what the name suggested and never promoted to strategy or sub_strategy.
fund_master:canonical_strategy,append,"promotion qualifier audit, 2026-09-02",context-grouping-map.csv; src/load/promote_extracted_to_fund_level.py,One canonical strategy enum every legacy vocabulary maps into; the printed strategy column keeps its printed words. This module reads context-grouping-map.csv and writes the column on every fund it keeps and every fund it adds.
fund_master:canonical_asset_class,append,"promotion qualifier audit, 2026-09-02",context-grouping-map.csv; src/load/promote_extracted_to_fund_level.py,"The canonical asset class the fund's printed groupings map into: one of the six private-capital classes, a public sleeve, or multi_asset. This module reads context-grouping-map.csv and writes the column on every fund it keeps and every fund it adds."
fund_observations:method,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-01,"How the page says the value was computed, carried from the observation; unstated where the page states none."
fund_observations:definition_keys,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-01,"The printed markers whose definitions govern the value, carried from the observation."
fund_observations:value_scope,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-01,"The grain the page states for the value, carried from the observation."
fund_periods:reported_irr_fee_basis,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-02,The fee basis the admitted observation states for reported_irr; unstated only where the observation says unstated.
fund_periods:reported_irr_method,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-02,"The method the admitted observation states for reported_irr, so a net and a gross money-weighted rate stay apart."
fund_periods:period_return_fee_basis,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-02,The fee basis the admitted observation states for period_return.
fund_periods:period_return_method,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-02,The method the admitted observation states for period_return.
fund_periods:sector,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-05,The printed company industry carried from the observations the period was built from.
fund_periods:canonical_asset_class,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-05,The asset class the printed groupings read as under context-grouping-map.csv.
fund_periods:canonical_strategy,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-05,The strategy the printed groupings read as under context-grouping-map.csv.
fund_periods:canonical_sub_strategy,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-05,The sub-strategy the printed groupings read as under context-grouping-map.csv.
fund_periods:canonical_sector,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-05,The industry the printed sector reads as under context-grouping-map.csv.
fund_master:sector,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-05,"The printed company industry, where the corpus states one for the fund."
fund_master:canonical_sub_strategy,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-05,The sub-strategy the printed groupings read as under context-grouping-map.csv.
fund_master:canonical_sector,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-05,The industry the printed sector reads as under context-grouping-map.csv.
fund_holdings:canonical_sector,append,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-04,The industry the printed holding sector reads as under context-grouping-map.csv.
