"item_id","sprint","work","depends_on","outputs","acceptance","source","audit_ids","status","evidence"
"V3-22","Foundation","Record current state and implement legacy compatibility and restart-safe build entry point","","archive/legacy-review.zip;run_assessment.py;candidate/;compatibility tests","Original legacy bundle restores; current V1 values and ranks reproduce; changed source approvals cannot cover synthetic or V1 paths; CSV worklist parses; stage resume checks its inputs and outputs","GP-Scoring/v2-baseline.json;GP-Scoring/run_v2.py;GP-Scoring/v2_inputs.py","G06;G07","READY",""
"V3-23","Foundation","Verify the assigned holdings agent's completed repair and corrected GP inputs","V3-22","GP-Scoring/data/input-approvals.csv;verification evidence in the execution log","SRC407 accounting negatives retain printed signs; summaries remain evidence and stay outside individual-position totals; legacy fund_holdings owners match reviewed normalized relationships; market and fair values remain distinct; affected CSV/database/analytics/dashboard outputs reconcile; adjudicated records and V1/parent synthetic values unchanged; focused regressions and changed-value evidence verified","audit/notes/gp-scoring-upgrade-review.csv;src/load/build_normalized_holdings.py;tests/test_normalized_holdings.py;data/csv/fund_holdings.csv","G09","BLOCKED","Moses assigned the upstream repair and affected parent rebuilds to another agent; await its report and released write scope; record handover paths and checker results before acceptance; GP agent verifies rather than duplicates repairs."
"V3-01","Population and schemas","Build coherent manager-mandate fund-series input generator and measured population configuration","V3-22","population.py;population/manager_master.csv;population/fund_master.csv;policies/population-rules.csv;population/manifest.json","Pilot supports meaningful peers and deliberate first-time/partial cases; full configured population uses the same paths; repeated seeds reproduce retained IDs and values; parent fixture unchanged","data/synthetic/clean/fund_master.csv;src/generate/generate_synthetic_funds.py;Expansion/EXPANSION-LEDGER.md","G02;G16","READY",""
"V3-02","Population and schemas","Extend dated manager observations and attributable team history","V3-01","population/manager_observations.csv;population/team-history.csv","Founding and first-close dates differ where appropriate; AUM has a stated basis; team counts and fund counts use dates; existing observations are mapped rather than duplicated","data/synthetic/clean/manager_observations.csv;GP-Scoring/data/team-history.csv","G04","READY",""
"V3-03","Population and schemas","Add mandate targets and currency-comparable fund-size bands","V3-01","population/mandate-history.csv;policies/peer-rules.csv","Target weights have effective dates and units; unknown source mandates remain unknown; currency conversions cite supported rates; band boundaries and mega/small cases tested","GP-Scoring/v2_features.py;Expansion/EXPANSION-LEDGER.md","G04;G10","READY",""
"V3-04","Population and schemas","Define hidden generator traits and bounded operating assumptions","V3-01","policies/population-rules.csv;population/generator-truth.csv;generator tests","Traits affect generated events but never enter scoring inputs; mean reversion applies to named ratios not every company outcome; holdout entities and time periods are recorded","GP-Scoring/research/GP Scoring Blueprint for an Institutional Private-Equity Investment Team.md","G03;G11","READY",""
"V3-06","Population and schemas","Adapt canonical owner-target-instrument-position schema for the add-on populations","V3-22","population/ six holdings tables;schema adapters;schema tests","All six existing table contracts are consumed; source IDs and owner identities preserved; population-aware joins prohibit fictional/source mixing; no redundant company identity table","sql/duckdb/02_fund_level_ddl.sql;Expansion/holdings/E01-ARCHITECTURE-MAP.md","G03;G14","READY",""
"V3-07","Population and schemas","Implement company-financial and investment/deal-event contracts","V3-06","population/company_financials.csv;population/investment_events.csv;population/investor_events.csv;population/deals.csv;schema definitions","Every table has a key and consumer; company facts are not duplicated per holding; announced versus closed deals differ; field origins preserve dates currency and units","GP-Scoring/data/case-events.csv;GP-Scoring/data/case-valuations.csv;Expansion/holdings/gpt-09-13-2026-1200.md","G03;G08","READY",""
"V3-19","Population and schemas","Extract reviewed secondary-market statistics with transaction-population definitions","V3-22","population/secondary_market_statistics.csv;source citations and review evidence","SRC613-SRC617 captions and footnotes reviewed under the extraction contract; GP-led and LP-led populations remain distinct; ranges/distributions/averages not conflated; no invented individual deal prices","Expansion/Data/04-admission/admission-ledger.csv;data/documents/pdf/Secondary_Pricing_Lazard_Interim_2026.pdf;data/documents/pdf/Secondary_Pricing_Evercore_PCA_2025.pdf","G13","READY",""
"V3-20","Population and schemas","Complete the real-holdings pilot from reviewed source data and one eligible new filing","V3-23;V3-06","source pilot manifest;reviewed native/page references;normalized source records","Existing source case works; selected new filing has actual admission and required extraction/adjudication evidence; HTML/XML same-filing overlap is not independent evidence; active discovery ownership respected; pending external steps stay BLOCKED","Expansion/Data/05-handoff/;Expansion/Data/04-admission/admission-ledger.csv;instructions/01-pdf-extraction-csv/","G05;G09","READY",""
