record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
document,fund_name,Pennsylvania State Employees’ Retirement Fund,Fund/vehicle governed or referenced by agreement,SRC612,3,3,3,100.0,3,1.00,high,fund/legal terms and governance,CORE,,SRC612,1,Source-type outlier; not used alone to justify partnership-specific core fields.
document,general_partner_name,MANAGER / Harvest Fund Advisors LLC,General partner or equivalent investment manager party,SRC612,3,3,3,100.0,3,1.00,high,fund/legal terms and governance,CORE,,SRC612,1,Source-type outlier; not used alone to justify partnership-specific core fields.
document,agreement_date,made as of 201_,Agreement date/effective date as printed,SRC612,3,3,3,100.0,3,1.00,high,fund/legal terms and governance,CORE,,SRC612,1,Source-type outlier; not used alone to justify partnership-specific core fields.
document,governing_law,laws of the Commonwealth of Pennsylvania,Governing law/jurisdiction,SRC612,3,3,3,100.0,3,1.00,high,fund/legal terms and governance,CORE,,SRC612,14,Source-type outlier; not used alone to justify partnership-specific core fields.
document,partnership_jurisdiction,Delaware Limited Partnership,Fund/partnership legal jurisdiction and form,SRC004,3,3,2,66.7,2,1.00,high,fund economics / capital mechanics / governance,CORE,,SRC004,1,Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
document,term_years,initial term shall be five (5) years,Initial stated agreement/fund term,SRC612,3,3,3,100.0,3,1.00,high,fund/legal terms and governance,CORE,,SRC612,13,Source-type outlier; not used alone to justify partnership-specific core fields.
document,extension_terms,two (2) additional one (1) year periods,Printed fund-term extension structure,SRC004,3,3,2,66.7,2,1.00,high,fund economics / capital mechanics / governance,CORE,,SRC004,47,Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
economic_term,term_name,Management Fee; Priority Payment; Carried Interest; Organizational Expenses; Management Fee Offset,Standardized name of recurring economic term,SRC004,3,3,2,66.7,27,13.50,high,fund economics / capital mechanics / governance,CORE,,SRC004,"7,11-12,28-30,37,43-44",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
economic_term,value_raw,"2%; 1.5%; 8%; 20%; $750,000; 50%",Printed economic term value,SRC004,3,3,2,66.7,27,13.50,high,fund economics / capital mechanics / governance,CORE,,SRC004,"11-12,28-30,37,44",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
economic_term,unit_or_type,percent; USD; annual rate; allocation share,Printed unit/type of economic term,SRC004,3,3,2,66.7,27,13.50,high,fund economics / capital mechanics / governance,CORE,,SRC004,"11-12,28-30,37,44",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
economic_term,basis,aggregate Subscriptions; weighted average Funded Commitments; unreturned Capital Contributions; Special Income,Printed denominator/basis for economic term,SRC004,3,3,2,66.7,27,13.50,high,fund economics / capital mechanics / governance,CORE,,SRC004,"11-12,29-30",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
economic_term,phase_or_period,Commitment Period; post-Commitment Period; quarterly in advance,Period or phase in which economic term applies,SRC004,3,3,2,66.7,22,11.00,high,fund economics / capital mechanics / governance,CORE,,SRC004,29-30,Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
economic_term,accrual_or_compounding,[8]% compounded annually and calculated daily,Printed accrual/compounding convention for preferred return or similar economic term,SRC003,3,3,1,33.3,1,1.00,high,fund economics / capital mechanics / governance,CORE,,SRC003,14,Backfilled: SRC004 has 8% Priority Payment but no explicit compounding convention in the sampled text; SRC612 none.
economic_term,offset_or_adjustment,Management Fee Offset; reduced by Fee Income,"Printed offset, step-down, reduction, or adjustment mechanism affecting an economic term",SRC003,3,3,2,66.7,4,2.00,high,fund economics / capital mechanics / governance,CORE,,SRC003,36-37,Backfilled: SRC004 includes fee reduction/management-fee mechanics but not a generic field; SRC612 compensation references exist.
capital_term,capital_term_type,Maximum Subscription Amount; Initial Capital Contribution; Additional Capital Contribution; Unfunded Subscription; default interest,Standardized capital/commitment mechanic,SRC004,3,3,2,66.7,34,17.00,high,fund economics / capital mechanics / governance,CORE,,SRC004,"9-14,32-35",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
capital_term,value_raw,"$600,000,000; $750,000,000; 5%; ten business days; Prime Rate + 2%",Printed value for capital mechanic,SRC004,3,3,2,66.7,29,14.50,high,fund economics / capital mechanics / governance,CORE,,SRC004,"9-10,33-35",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
capital_term,basis_or_scope,each Partner total Subscription; aggregate Subscriptions; Unfunded Subscription,Printed basis/entity scope of capital mechanic,SRC004,3,3,2,66.7,34,17.00,high,fund economics / capital mechanics / governance,CORE,,SRC004,"9-14,33-35",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
capital_term,timing_or_notice,ten (10) business days; forty-five (45) days,Printed timing/notice term for capital mechanic,SRC004,3,3,2,66.7,18,9.00,high,fund economics / capital mechanics / governance,CORE,,SRC004,33-35,Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
capital_term,consequence_or_effect,default interest; $100 purchase; inactive partner; unfunded reduced to zero,Printed consequence/effect of capital mechanic,SRC004,3,3,2,66.7,20,10.00,high,fund economics / capital mechanics / governance,CORE,,SRC004,34-35,Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
capital_term,recycling_or_recallability,Reinvestment; Remaining Commitments increased by distributed proceeds,Printed rule allowing distributed/unused capital to be recycled or recalled,SRC003,3,3,2,66.7,3,1.50,high,fund economics / capital mechanics / governance,CORE,,SRC003,28,Backfilled: SRC004 contains reinvestment/reinvestment amounts in partnership mechanics; SRC612 none.
clause,section_number,1-28,Printed article/section number,SRC612,3,3,3,100.0,268,89.33,high,fund/legal terms and governance,CORE,,SRC612,2-15,Source-type outlier; not used alone to justify partnership-specific core fields.
clause,section_heading,Engagement; Compensation; Indemnification; Termination; Applicable Law,Printed article/section heading,SRC612,3,3,3,100.0,268,89.33,high,fund/legal terms and governance,CORE,,SRC612,2-15,Source-type outlier; not used alone to justify partnership-specific core fields.
clause,clause_category,governance; reporting; conflict; transfer; termination; records; fiduciary; economics,Standardized analytical category for legal provision,SRC612,3,3,3,100.0,268,89.33,high,fund/legal terms and governance,CORE,,SRC612,2-15,Source-type outlier; not used alone to justify partnership-specific core fields.
clause,operative_text,first operative sentence / provision,"Operative legal right, obligation, restriction, representation, or procedure",SRC612,3,3,3,100.0,490,163.33,high,fund/legal terms and governance,CORE,,SRC612,2-15,Source-type outlier; not used alone to justify partnership-specific core fields.
clause,beneficiary_party,SERS; Fund,Party benefiting from the right/protection,SRC612,3,3,3,100.0,224,74.67,high,fund/legal terms and governance,CORE,,SRC612,2-15,Source-type outlier; not used alone to justify partnership-specific core fields.
clause,obligated_party,MANAGER,Party bearing the obligation/restriction,SRC612,3,3,3,100.0,335,111.67,high,fund/legal terms and governance,CORE,,SRC612,2-15,Source-type outlier; not used alone to justify partnership-specific core fields.
clause,effect_type,right; obligation; restriction; representation; consent; termination,Legal/economic effect type,SRC612,3,3,3,100.0,490,163.33,high,fund/legal terms and governance,CORE,,SRC612,2-15,Source-type outlier; not used alone to justify partnership-specific core fields.
clause,condition_or_trigger,upon request; material change; at SERS option,Printed condition/trigger for provision,SRC612,3,3,3,100.0,202,67.33,high,fund/legal terms and governance,CORE,,SRC612,2-15,Source-type outlier; not used alone to justify partnership-specific core fields.
clause,parameter_name,notice period; record retention; reimbursement cap; concentration limit,Named quantitative/timing parameter embedded in legal clause,SRC612,3,3,3,100.0,137,45.67,high,fund/legal terms and governance,CORE,,SRC612,"4,6,11,13,25",Source-type outlier; not used alone to justify partnership-specific core fields.
clause,parameter_value_raw,"five (5) business days; $5,000; four (4) years; 120 days; 15%",Printed value exactly as stated,SRC612,3,3,3,100.0,137,45.67,high,fund/legal terms and governance,CORE,,SRC612,"4,6,11,13,25",Source-type outlier; not used alone to justify partnership-specific core fields.
waterfall_tier,waterfall_context,Allocation of Profits; Priority of Distributions,Printed waterfall/allocation context,SRC004,3,3,2,66.7,4,2.00,high,fund economics / capital mechanics / governance,EXTENSION,,SRC004,"37,42-43",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
waterfall_tier,tier_order,First; Second; Third; Fourth; Fifth; Thereafter,Printed tier sequence/order,SRC004,3,3,2,66.7,15,7.50,high,fund economics / capital mechanics / governance,EXTENSION,,SRC004,"37-38,43",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
waterfall_tier,tier_recipient,Pro Rata to Partners; General Partner,Printed recipient(s) of tier,SRC004,3,3,2,66.7,15,7.50,high,fund economics / capital mechanics / governance,EXTENSION,,SRC004,"37-38,43",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
waterfall_tier,allocation_percent_raw,100%; 80%; 20%,Printed allocation percentage for tier,SRC004,3,3,2,66.7,24,12.00,high,fund economics / capital mechanics / governance,EXTENSION,,SRC004,"37-38,43",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
waterfall_tier,threshold_or_condition,until cumulative ... Priority Payment/Shortfall; thereafter,Printed condition for moving through waterfall tier,SRC004,3,3,2,66.7,15,7.50,high,fund economics / capital mechanics / governance,EXTENSION,,SRC004,"37-38,43",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
waterfall_tier,reference_basis,Priority Payment; Shortfall Amount; Profits; Capital Contributions,Named economic basis referenced by tier,SRC004,3,3,2,66.7,15,7.50,high,fund economics / capital mechanics / governance,EXTENSION,,SRC004,"37-38,43",Backfilled against SRC612: partnership-specific field absent unless equivalent management-contract concept exists.
execution,party_role,MANAGER; SERS; Attorney General; General Counsel,Role of executing/approving party,SRC612,3,3,3,100.0,9,3.00,high,fund/legal terms and governance,CORE,,SRC612,16-18,Source-type outlier; not used alone to justify partnership-specific core fields.
execution,signatory_name,NAME,Printed signatory name when populated,SRC612,3,3,2,66.7,2,1.00,high,fund/legal terms and governance,CORE,,SRC612,16-18,Source-type outlier; not used alone to justify partnership-specific core fields.
execution,signatory_title,TITLE; Chairman; SERS Counsel,Printed signatory title/capacity,SRC612,3,3,3,100.0,7,2.33,high,fund/legal terms and governance,CORE,,SRC612,16-18,Source-type outlier; not used alone to justify partnership-specific core fields.
execution,execution_date,Date,Execution/approval date,SRC612,3,3,3,100.0,4,1.33,high,fund/legal terms and governance,CORE,,SRC612,16-18,Source-type outlier; not used alone to justify partnership-specific core fields.
document,agreement_name,MANAGEMENT AGREEMENT FOR REAL ASSET PORTFOLIO MANAGEMENT...,Printed agreement title,SRC612,3,3,3,100.0,3.0,1.00,high,fund/legal terms and governance,DROP,,SRC612,1,Source-type outlier; not used alone to justify partnership-specific core fields.
document,investor_or_lp_name,SERS,Limited partner/investor or equivalent asset-owner party when named,SRC612,3,3,1,33.3,1,1.00,high,fund/legal terms and governance,DROP,,SRC612,1,Source-type outlier; not used alone to justify partnership-specific core fields.
clause,referenced_document_or_law,ERISA; Investment Advisers Act; Exhibit A/B; Retirement Code,"Printed cross-reference to law, exhibit, or other governing document",SRC612,3,3,3,100.0,315.0,105.00,high,fund/legal terms and governance,DROP,,SRC612,1-15,Source-type outlier; not used alone to justify partnership-specific core fields.
clause_parameter,parameter_basis,per year; total market value; before termination,Printed basis/context of parameter,SRC612,3,3,3,100.0,137.0,45.67,high,fund/legal terms and governance,DROP,clause.parameter_value_raw,SRC612,"6,13,25",Source-type outlier; not used alone to justify partnership-specific core fields.
