input_value,output_value,decided_by,evidence,note,expected_count,tier,family,promotion_status,pme_role,return_basis,source_system,producer_script,selection_note
legacy_adjusted_etf_reference,raw/equity/DIA_1d.parquet|raw/equity/EFA_1d.parquet|raw/equity/GLD_1d.parquet|raw/equity/IEF_1d.parquet|raw/equity/IWM_1d.parquet|raw/equity/QQQ_1d.parquet|raw/equity/RSP_1d.parquet|raw/equity/SHY_1d.parquet|raw/equity/SPY_1d.parquet|raw/equity/TLT_1d.parquet|raw/equity/USO_1d.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,11,PME_CORE,ADJUSTED_ETF_REFERENCE,REFERENCE,VALIDATION_REFERENCE,ADJ_CLOSE,YAHOO_FINANCE_VIA_YFINANCE,src/ingest/equity.py,The adj_close field provides an independent comparison for selected ETF histories.
long_history_adjusted_etfs,raw/equity/YF_AGG.parquet|raw/equity/YF_DBC.parquet|raw/equity/YF_DIA.parquet|raw/equity/YF_EEM.parquet|raw/equity/YF_EFA.parquet|raw/equity/YF_GLD.parquet|raw/equity/YF_HYG.parquet|raw/equity/YF_IEF.parquet|raw/equity/YF_IWM.parquet|raw/equity/YF_LQD.parquet|raw/equity/YF_QQQ.parquet|raw/equity/YF_SHY.parquet|raw/equity/YF_SLV.parquet|raw/equity/YF_SPY.parquet|raw/equity/YF_TLT.parquet|raw/equity/YF_UNG.parquet|raw/equity/YF_USO.parquet|raw/equity/YF_VTI.parquet|raw/equity/YF_XLB.parquet|raw/equity/YF_XLC.parquet|raw/equity/YF_XLE.parquet|raw/equity/YF_XLF.parquet|raw/equity/YF_XLI.parquet|raw/equity/YF_XLK.parquet|raw/equity/YF_XLP.parquet|raw/equity/YF_XLRE.parquet|raw/equity/YF_XLU.parquet|raw/equity/YF_XLV.parquet|raw/equity/YF_XLY.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,29,PME_CORE,ADJUSTED_ETF_LONG_HISTORY,CANDIDATE,PRIMARY_OR_MATCHED_PROXY,AUTO_ADJUSTED_CLOSE,YAHOO_FINANCE_VIA_YFINANCE,scripts/ingest_equities_yf.py,The close field reflects the downloader's auto-adjusted setting.
wide_adjusted_etf_panel,raw/wide_etf/wide_etf_adjclose.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,1,PME_CORE,ADJUSTED_ETF_WIDE_PANEL,CANDIDATE,MATCHED_PROXY_SUPPLEMENT,AUTO_ADJUSTED_CLOSE,YAHOO_FINANCE_VIA_YFINANCE,scripts/wide_etf_pointer_state.py,"The panel adds sector, geography, style, fixed-income, and real-asset proxies from 2012."
fred_macro,raw/macro/FRED_*.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,97,MARKET_CONTEXT,MACRO_FRED,RESEARCH_ONLY,REGIME_CONTEXT,SOURCE_VALUE,FRED_OR_ALFRED,scripts/ingest_fred.py,The realtime_start field supplies the recorded knowledge date when present.
eia_macro,raw/macro/EIA_*.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,8,MARKET_CONTEXT,ENERGY_FUNDAMENTALS,RESEARCH_ONLY,REAL_ASSET_CONTEXT,SOURCE_VALUE,US_EIA,scripts/ingest_eia_live_fundamentals.py,"Energy production, demand, storage, and export series support real-asset research."
macro_events,raw/events/macro_event_calendar.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,1,MARKET_CONTEXT,MACRO_EVENTS,RESEARCH_ONLY,EVENT_CONTEXT,SOURCE_VALUE,MULTI_SOURCE_EVENT_CALENDAR,scripts/build_event_calendar.py,Knowledge timestamps support event-aligned analysis.
commodity_surprises,raw/commodities/*.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,2,MARKET_CONTEXT,COMMODITY_SURPRISES,RESEARCH_ONLY,REAL_ASSET_CONTEXT,DERIVED_SOURCE_VALUE,US_EIA,scripts/ingest_term_structure_eia.py,Storage surprise series support energy-fund sensitivity work.
cot_positioning,raw/positioning/*.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,46,MARKET_CONTEXT,COT_POSITIONING,RESEARCH_ONLY,POSITIONING_CONTEXT,SOURCE_AND_DERIVED_FIELDS,US_CFTC,scripts/ingest_cot_positioning.py,Weekly positioning supports regime and crowding analysis.
rates_quarantine,raw/rates/*.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,12,MARKET_CONTEXT,RATES,QUARANTINE,QUALITY_CONTROL_CASE,FINAL_OR_FILLED_RATE,THETADATA,scripts/pull_thetadata_rates.py,"Vintage, weekend-fill, and pre-2018 SOFR treatment require adjudication."
treasury_auctions,raw/treasury/treasury_auctions.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,1,MARKET_CONTEXT,TREASURY_AUCTIONS,RESEARCH_ONLY,CAPITAL_MARKETS_CONTEXT,SOURCE_VALUE,US_TREASURY,scripts/ingest_treasury_auctions.py,Auction outcomes support rates and liquidity context.
daily_vix_futures,raw/vix/xcbf_ohlcv1d_VX_v_*.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,3,MARKET_CONTEXT,VIX_FUTURES_DAILY,RESEARCH_ONLY,VOLATILITY_CONTEXT,FUTURES_PRICE,DATABENTO,scripts/pull_vix.py,Daily VIX futures support volatility-regime research.
daily_futures,raw/futures/*.parquet,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:97|src/market_data/curate_public_markets.py:433|src/market_data/curate_public_markets.py:483,,8,MARKET_CONTEXT,FUTURES_DAILY,RESEARCH_ONLY,MATCHED_OPPORTUNITY_COST,FUTURES_PRICE_OR_TERM_STRUCTURE,YAHOO_FINANCE_AND_EIA,src/ingest/futures.py,"PME use requires a declared roll, collateral, exposure, and cost convention."
