file_id,filename,doc_type,reason
SRC306,Financials_Gimv_Annual_Report_FY2023_2024_Mar.pdf,Financials,contents include annual results and audited financial statements
SRC307,Financials_Gimv_Half_Year_Report_Sep2024.pdf,Financials,cover states consolidated financial statements and half-year report
SRC308,Financials_Brederode_Annual_Report_FY2024.pdf,Financials,annual report contains consolidated financial statements and auditor report
SRC309,Financials_Brederode_Half_Year_Report_Jun2025.pdf,Financials,semi-annual financial information presents IFRS key figures and net assets
SRC310,Financials_Cordiant_Digital_Infrastructure_Annual_Report_FY2025_Mar.pdf,Financials,annual report includes IFRS financial statements and independent auditor report
SRC311,Financials_Cordiant_Digital_Infrastructure_Interim_Report_Sep2025.pdf,Financials,interim report includes condensed financial statements and cash flows
SRC312,Financials_Seraphim_Space_Investment_Trust_Annual_Report_FY2025_Jun.pdf,Financials,annual report includes audited financial statements and independent auditor
SRC313,Financials_Seraphim_Space_Investment_Trust_Annual_Report_FY2023_Jun.pdf,Financials,annual report includes audited financial statements and independent auditor
SRC314,Valuation_Augmentum_Fintech_Portfolio_Valuation_Mar2026.pdf,Valuation,page 1 identifies independent portfolio valuation report and gross value
SRC315,Performance_CT_Private_Equity_Trust_AGM_Presentation_May2026.pdf,Performance,AGM presentation reports NAV progression and investment total returns
SRC316,Financials_NBIM_GPFG_Annual_Report_2025.pdf,Institutional_Report,Government Pension Fund Global annual report covers investments and results
SRC317,Reporting_NBIM_GPFG_Responsible_Investment_2025.pdf,Stewardship_Proxy_Report,responsible investment report covers engagement voting climate and governance
SRC318,Financials_NBIM_GPFG_Half_Year_Report_2025.pdf,Institutional_Report,Government Pension Fund Global half-year report covers investments and results
SRC319,Financials_Future_Fund_Australia_Annual_Report_FY2025.pdf,Institutional_Report,Future Fund annual report covers investment performance governance and operations
SRC320,Financials_Future_Fund_Australia_Annual_Report_FY2024.pdf,Institutional_Report,Future Fund annual report covers investment performance governance and operations
SRC321,Financials_Border_To_Coast_Annual_Report_FY2023.pdf,Institutional_Report,pension pool annual report covers governance investments and financial performance
SRC322,Financials_Border_To_Coast_Annual_Report_FY2022.pdf,Institutional_Report,pension pool annual report covers governance investments and financial performance
SRC323,Fee_Report_Border_To_Coast_Assessment_Of_Value_2024.pdf,Fee_Report,assessment of value reviews fund costs charges and value
SRC324,Reporting_Border_To_Coast_Climate_Change_Report_FY2025.pdf,Stewardship_Proxy_Report,climate change report covers TCFD governance risks and emissions
SRC325,Financials_CDPQ_Annual_Report_2024.pdf,Institutional_Report,CDPQ annual report covers depositor results investment activities and governance
SRC326,Financials_Ontario_Teachers_Annual_Report_2025.pdf,Institutional_Report,pension plan annual report covers investments funding and financial results
SRC327,Financials_Ontario_Teachers_Annual_Report_2024.pdf,Institutional_Report,pension plan annual report covers investments funding and financial results
SRC328,Financials_USS_Report_And_Accounts_FY2025.pdf,Institutional_Report,USS annual report covers pension investments governance funding and accounts
SRC329,Reporting_USS_Governance_Supplement_FY2025.pdf,Stewardship_Proxy_Report,governance supplement details trustee governance committees and oversight
SRC330,Financials_PSP_Investments_Annual_Report_FY2025.pdf,Institutional_Report,PSP pension investor annual report covers performance governance and financial results
SRC331,Financials_PSP_Investments_Public_Sector_Plan_Statements_FY2025.pdf,Financials,cover and contents present pension plan financial statements and notes
SRC332,Financials_PSP_Investments_Canadian_Forces_Plan_Statements_FY2025.pdf,Financials,cover and contents present pension plan financial statements and notes
SRC333,Financials_Pension_Protection_Fund_Annual_Report_FY2025.pdf,Institutional_Report,statutory pension protection annual report covers performance accountability and accounts
SRC334,Financials_Pension_Protection_Fund_Annual_Report_FY2025_Large_Print.pdf,Institutional_Report,large-print statutory annual report covers pension performance accountability and accounts
SRC335,Financials_Greater_Manchester_Pension_Fund_Annual_Report_FY2025.pdf,Institutional_Report,pension fund annual report covers governance investments administration and accounts
SRC336,Financials_Greater_Manchester_Pension_Fund_Annual_Report_FY2024.pdf,Institutional_Report,pension fund annual report covers governance investments administration and accounts
SRC337,Financials_Greater_Manchester_Pension_Fund_Statement_Of_Accounts_FY2024.pdf,Financials,statement of accounts presents fund account and net assets statement
SRC338,Financials_NZ_Super_Fund_Annual_Report_FY2025.pdf,Institutional_Report,NZ Super Fund annual report covers investment performance governance and operations
SRC339,Reporting_NZ_Super_Fund_Stewardship_Report_2025.pdf,Stewardship_Proxy_Report,stewardship report covers voting engagement exclusions and responsible ownership
SRC340,Performance_Temasek_Review_2025_Highlights.pdf,Performance,Temasek review highlights ten-year portfolio performance and investment returns
SRC341,Financials_Ilmarinen_Report_On_Operations_2024.pdf,Institutional_Report,pension insurer annual report covers investment operations returns and financial statements
SRC342,Financials_Keva_Annual_Report_2024.pdf,Institutional_Report,pension manager annual report covers investments governance and financial results
SRC343,Financials_Keva_Financial_Statements_2024.pdf,Financials,cover states financial statements with profit balance sheet notes and audit
SRC344,Financials_Varma_Board_Report_And_Financial_Statements_2024.pdf,Institutional_Report,pension insurer board report covers investments sustainability and financial statements
SRC345,Performance_Aware_Super_Annual_Report_FY2025.pdf,Institutional_Report,superannuation annual report covers strategy members governance and financial disclosures
SRC346,Financials_Aware_Super_ASIC_Financial_Report_FY2025.pdf,Financials,ASIC filing is audited superannuation entity financial report
SRC347,Financials_Cumbria_LGPS_Pension_Fund_Annual_Report_FY2025.pdf,Institutional_Report,LGPS annual report covers governance investment performance administration and accounts
SRC348,Performance_AustralianSuper_Annual_Report_FY2025.pdf,Institutional_Report,superannuation annual report summarizes operations activities and financial position
SRC349,Financials_West_Yorkshire_Pension_Fund_Report_And_Accounts_FY2025.pdf,Institutional_Report,pension fund report and accounts covers investments administration and financial performance
SRC350,Financials_London_Borough_Hounslow_Pension_Fund_Annual_Report_FY2025.pdf,Institutional_Report,pension fund annual report covers management performance investments administration and accounts
SRC351,Financials_AP2_Andra_AP_Fonden_Annual_Report_2024.pdf,Institutional_Report,AP2 pension fund annual report covers performance sustainability governance and financials
SRC352,Financials_AP7_Sjunde_AP_Fonden_Annual_Report_2024.pdf,Institutional_Report,AP7 pension fund annual report covers operations stewardship governance and financials
