sample_order,file_id,filename,page_count,review_status,record_groups_observed,new_candidate_fields,new_extension_structures,important_tables_or_sections,notes
1,SRC389,Performance_University_of_South_Carolina_Foundations_Endowment_Report_FY2025.pdf,6,COMPLETE,document_context | portfolio_snapshot | allocation_record | performance_record,institution_name | report_period | as_of_date | currency_or_scale | portfolio_name | portfolio_value | allocation_name | market_value | target_allocation_pct | scope_name | period_label | return_pct | benchmark_name | benchmark_return_pct,,Investment Summary; Allocation Summary; Investment Returns; benchmark composition; Endowment Composition,
2,SRC038,Performance_MassVentures_Annual_Report_FY2015.pdf,17,COMPLETE,document_context | allocation_record | performance_record | private_market_position,investment_name | commitment | distributions | explicit_cost_amount,private_market_position,performance goals/results; investment leverage; portfolio value; sector mix; program funding/results,
3,SRC061,Reporting_NJ_Division_of_Investment_Reporting_Package_Apr2026.pdf,24,COMPLETE,document_context | portfolio_snapshot | allocation_record | performance_record | private_market_position,actual_allocation_pct | inception_date | manager_name | contributions | unfunded_commitment | multiple | sustainability_metric,performance_record | private_market_position,Actual vs Target Allocation; pension-fund performance; private-markets manager/fund tables; commitments/unfunded,
4,SRC212,Performance_INPRS_Indiana_ACFR_Investment_Section_FY2023.pdf,33,COMPLETE,document_context | portfolio_snapshot | allocation_record | performance_record | private_market_position,excess_return_pct | reported_value | irr,private_market_position,asset allocation policy/ranges; performance by asset class; benchmark definitions; private markets,
5,SRC342,Financials_Keva_Annual_Report_2024.pdf,62,COMPLETE,document_context | portfolio_snapshot | allocation_record | performance_record | private_market_position,,,Investment operations; asset-class allocation/returns; private equity/real estate; investment costs/risk,CHECKPOINT: merged source-label synonyms into standardized fields; redundant structures collapsed; counters recalculated against every processed document.
6,SRC352,Financials_AP7_Sjunde_AP_Fonden_Annual_Report_2024.pdf,77,COMPLETE,document_context | portfolio_snapshot | allocation_record | performance_record | private_market_position,net_assets,portfolio_snapshot,fund returns; managed capital; asset composition; alternative assets; fees/costs/risk,
7,SRC180,Reporting_Colorado_PERA_Investment_Committee_Materials_Nov2025.pdf,96,COMPLETE,document_context | portfolio_snapshot | allocation_record | performance_record | private_market_position,policy_min_pct | policy_max_pct,,Total Fund overview; allocation/performance table; private equity/real estate/alternatives; IRR/commitment materials,
8,SRC316,Financials_NBIM_GPFG_Annual_Report_2025.pdf,139,COMPLETE,document_context | portfolio_snapshot | allocation_record | performance_record | private_market_position,,,fund value and asset mix; annual return; benchmark-relative performance; real estate/renewable infrastructure; management costs,
9,SRC333,Financials_Pension_Protection_Fund_Annual_Report_FY2025.pdf,180,COMPLETE,document_context | portfolio_snapshot | allocation_record | performance_record | private_market_position,,,AUM/funding; investment performance; allocation/risk; private assets; costs and commitments,
10,SRC338,Financials_NZ_Super_Fund_Annual_Report_FY2025.pdf,230,COMPLETE,document_context | portfolio_snapshot | allocation_record | performance_record | private_market_position,,,Fund return vs Reference Portfolio; strategic asset allocation; private-market commitments; performance/risk/costs,"CHECKPOINT: merged source-label synonyms into standardized fields; redundant structures collapsed; counters recalculated against every processed document. SECOND PASS COMPLETE: challenged against DATA-DICTIONARY.md, round02-schema-audit, and pdf_extraction_routes.yml; legacy structures used only to test naming/grain and not imported wholesale."
