"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"PAIR_9899034E3226F9ED7FC65ABC","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","2021 Beginning Fair Value","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","beginning_capital","2021 Beginning Fair Value","5,920,978","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","",""
"PAIR_98274A77BC407C4226956C90","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","2021 Ending Fair Value Balance","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","ending_capital","2021 Ending Fair Value Balance","6,875,008","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","",""
"PAIR_4792CF8E321E0340E58F1696","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","Increase (Decrease) in Fair Value","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","unrealized_gain_loss","Increase (Decrease) in Fair Value","293,280","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","",""
"PAIR_9432099B8090432F0A57C40E","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","Percent of Total Fair Value","1","asset_class","Absolute return","","","","","","","","","","2021","","","actual_allocation","Percent of Total Fair Value","15.10","%","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","",""
"PAIR_6142141199BBFF4FE508D8F1","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","Purchases","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","contribution","Purchases","4,115,751","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","",""
"PAIR_40F1F4EF1056B5582F1BB4FD","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","Sales and Redemptions","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","distribution","Sales and Redemptions","(3,455,001)","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","",""
"PAIR_439A350560C16CE7970D392F","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","2021 Beginning Fair Value","1","asset_class","Debt securities","","","","","","","","","","2021","","dollars in thousands","beginning_capital","2021 Beginning Fair Value","5,318,719","","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","",""
"PAIR_A643B132108579E19D5CEFE9","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","2021 Ending Fair Value Balance","1","asset_class","Debt securities","","","","","","","","","","2021","","dollars in thousands","ending_capital","2021 Ending Fair Value Balance","5,456,730","","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","",""
"PAIR_150DA253760207DFDC36073F","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","Increase (Decrease) in Fair Value","1","asset_class","Debt securities","","","","","","","","","","2021","","dollars in thousands","unrealized_gain_loss","Increase (Decrease) in Fair Value","(170,438)","","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","",""
"PAIR_D0FEFF2A727639037907E59D","MERGE","neither lane is complete on this table. source_section takes the running section heading Defined Benefit Investments (Continued) printed at the top of all five pages, which A left blank on every row. source_column_label and metric_name take the printed column header in full (A), not B's truncation of Sales and Redemptions to Redemptions. as_of_date is the printed 2021; December 31 is not printed on this page. currency_scale drops the enclosing parentheses of the printed (dollars in thousands) and is blank on the percentage column, which carries no dollar scale. The Ending Fair Value Balance column closes a beginning-to-ending roll-forward, so ending_capital (B) and not nav (A). Percent of Total Fair Value is each class's share of the fund, printing the same figures the page 2 donut prints as an allocation, so allocation_observation actual_allocation and not fund_economics ownership_percentage. Values keep the printed $ and % with the gap closed; A carries them, B strips them. Totals is the fund aggregate, so subject_type portfolio.","2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","Percent of Total Fair Value","1","asset_class","Debt securities","","","","","","","","","","2021","","","actual_allocation","Percent of Total Fair Value","11.98","%","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","",""
