record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
foundation_summary,foundation_name,ALFRED P. SLOAN FOUNDATION; THE DAVID AND LUCILE PACKARD FOUNDATION; THE WILLIAM & FLORA HEWLETT FOUNDATION; THE FORD FOUNDATION,Foundation/legal filer name,SRC371,4,4,4,100.0,4,1.00,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,1,Foundation special rule applied: recurring investment/allocator data only.
foundation_summary,tax_year,2024,Tax/reporting year,SRC371,4,4,4,100.0,4,1.00,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,1,Foundation special rule applied: recurring investment/allocator data only.
foundation_summary,total_assets_beginning_book_value,Total assets or fund balances,Beginning-of-year total assets at book value,SRC371,4,4,4,100.0,4,1.00,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,2,Foundation special rule applied: recurring investment/allocator data only.
foundation_summary,total_assets_ending_book_value,Total assets or fund balances,End-of-year total assets at book value,SRC371,4,4,4,100.0,4,1.00,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,2,Foundation special rule applied: recurring investment/allocator data only.
foundation_summary,total_assets_fair_market_value,Fair market value of all assets at end of year; Total assets,End-of-year total assets at fair market value,SRC371,4,4,4,100.0,5,1.25,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,1-2,Foundation special rule applied: recurring investment/allocator data only.
foundation_summary,ending_net_assets,Total net assets or fund balances,End-of-year net assets/fund balance,SRC371,4,4,4,100.0,4,1.00,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,2,Foundation special rule applied: recurring investment/allocator data only.
foundation_summary,net_investment_income,Net investment income,Net investment income reported by the foundation,SRC371,4,4,4,100.0,4,1.00,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,1,Foundation special rule applied: recurring investment/allocator data only.
foundation_summary,capital_gain_net_income,Capital gain net income,Net capital-gain income reported by the foundation,SRC371,4,4,4,100.0,4,1.00,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,1,Foundation special rule applied: recurring investment/allocator data only.
foundation_summary,average_securities_fair_market_value,Average monthly fair market value of securities,Average fair market value of securities used in minimum-investment-return schedule,SRC371,4,4,4,100.0,4,1.00,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,8,Foundation special rule applied: recurring investment/allocator data only.
foundation_summary,average_cash_fair_market_value,Average of monthly cash balances,Average cash balance used in minimum-investment-return schedule,SRC371,4,4,4,100.0,4,1.00,high,allocator asset mix / investment income / valuation context,CORE,,SRC371,8,Foundation special rule applied: recurring investment/allocator data only.
