"source_page","final_page_status","final_expected_observation_count","reason"
"1","REFERENCE_ONLY","1","Cover page: title, programme, presenter and date only. Both lanes agreed on the status and differed only on source_structures; the document_context row sits here as bookkeeping and does not make the page eligible."
"2","REFERENCE_ONLY","0","NO_ELIGIBLE_REASON: Table of contents, four bullet lines and a page number. No printed figure, so no record."
"6","ELIGIBLE_DATA_EXTRACTED","90","Counted from the image: twelve data rows across seven period columns is eighty-four cells, less the four N/A cells on Internal Program and its blended benchmark, is eighty; plus six values in the % of PSERS Market Value column that only A read; plus the four footnotes a to d. A count of 90 is right and B 84 missed the share column."
"8","ELIGIBLE_DATA_EXTRACTED","14","Counted from the image: six rows across the Market Value and % columns is twelve cells, plus the two footnotes. B 8 missed the whole Market Value column. The pie beside the table restates the same six shares at one decimal, so it prints no second fact and adds no row."
"10","ELIGIBLE_DATA_EXTRACTED","13","Counted from the image: four rows across the Target, Market Value and % columns is twelve cells, plus footnote a. B 9 missed the Market Value column. The pie restates the % column at one decimal and adds no row."
"11","ELIGIBLE_DATA_EXTRACTED","13","Counted from the image: six rows across the Market Value share and Quarter columns is twelve cells, plus footnote a. B 7 missed the Market Value share column."
"13","ELIGIBLE_DATA_EXTRACTED","23","Counted from the image: each of the two tables prints three cells on Quarter, three on Y-T-D and five on I-T-D, so eleven each, plus footnote a. Both lanes counted 23; they differed only on how much of the printed banner they kept as the table name."
"14","ELIGIBLE_DATA_EXTRACTED","36","Counted from the image: seven measure rows across five period columns is thirty-five cells, plus footnote a. Net Value Changed and Total Exposure print five cells each but neither has an allowed category on this route, so both lanes rightly left them out."
"17","ELIGIBLE_DATA_EXTRACTED","11","Counted from the image: four bar groups across two series is eight labelled values, plus the two plan totals printed above the chart, plus the starred footnote. A 5 and B 7 both missed the Unfunded Commitments and Potential Exposure bars, which are added here; A also missed the two plan totals."
"18","ELIGIBLE_DATA_EXTRACTED","17","Counted from the image: the three pies print two, six and five labelled slices, so thirteen values, plus the three Pennsylvania shares the starred note prints, plus the note itself. B 17 is right and A 14 missed the three shares in the note."
"20","ELIGIBLE_DATA_EXTRACTED","5","Counted from the image: five of the nine printed lines carry a dollar amount with an allowed category. The head count, payroll, square footage and unit count print figures with no allowed category, so both lanes rightly left them out. The lanes differed only on which printed heading is the section and which is the table."
"21","REFERENCE_ONLY","0","Closing page repeating the cover: title, programme, presenter and date only, and no printed figure."
"4","REFERENCE_ONLY","0","NO_ELIGIBLE_REASON: Table of contents repeated, four bullet lines and a page number. Both lanes counted zero and both left the note empty, which the final rejects, so the note is supplied here."
"12","REFERENCE_ONLY","0","NO_ELIGIBLE_REASON: Table of contents repeated, four bullet lines and a page number. Note supplied for the same reason."
"16","REFERENCE_ONLY","0","NO_ELIGIBLE_REASON: Table of contents repeated, four bullet lines and a page number. Note supplied for the same reason."
