sample_order,file_id,filename,page_count,issuer,review_status,record_groups_observed,new_candidate_fields,new_extension_structures,important_tables_or_sections,notes
1,SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,14,"Versa Capital Management, LLC",COMPLETE,report_context | statement_line | investment_position | capital_activity,entity_name | period_end | currency | audit_status | statement_type | line_item | amount_raw | column_label | investment_label | acquisition_date | business_description | geography | sector | cost_raw | fair_value_raw | percent_value_raw | investor_name | activity_date | activity_type | commitment_raw,investment_position | capital_activity,"Combined statements pp3,5-7,9-10; Schedule of Investments p4; PSERS investor contributions/distributions pp11-13",Complete TXT read all 14 pages. Page 4 holding table is OCR/layout-damaged/redacted; existing PNG inspected for table structure. Page 14 blank.
2,SRC379,Financials_Duke_Endowment_Annual_Report_2023.pdf,24,The Duke Endowment,COMPLETE,report_context | statement_line | financing,unit | asset_class | valuation_method | unfunded_commitment_raw | financing_type | counterparty_name | facility_size_raw | balance_raw | interest_rate_raw | maturity_date | covenant_status_raw,financing,Audited statements pp9-11; investment cost/market by asset class p16; redemption/unfunded commitments and fair value hierarchy pp17-18; derivatives by risk/counterparty pp19-20; senior note and credit facilities pp20-21; functional expenses p22,"Complete TXT read all 24 pages. Page 4 chart text is glyph-damaged but surrounding narrative is readable. Strong alternative-investment disclosure: private investments, real assets, hedged strategies, NAV practical expedient, unfunded commitments, derivative exposures."
3,SRC287,Financials_ICG_Enterprise_Trust_Annual_Report_FY2025_Jan_Statements.pdf,28,ICG Enterprise Trust plc,COMPLETE,report_context | statement_line | investment_position | financing,manager_name | investment_type,,Audited statements pp8-11; investment-management fees pp15-16; investment rollforward pp19-20; named fund commitments pp22-23; currency exposure p24; revolving credit terms p25; fair-value hierarchy/Level 3 rollforward pp26-27,"Complete TXT read all 28 pages. High-value private-markets content includes fund/co-investment valuation methods, named uncalled commitments, financing terms, management fees and Level 3 movement tables."
4,SRC087,Financials_CohnReznick_Private_Equity_Illustrative_2025.pdf,31,CohnReznick LLP,COMPLETE,report_context | statement_line | investment_position | financing,position_size_raw,,Illustrative statements pp6-10; detailed Schedule of Investments p7; fair-value methods pp13-20; financing templates pp21-22; committed capital/waterfall/management fee pp23-26; financial highlights p28; private investment company schedule p30,"Complete TXT read all 31 pages. Illustrative/template values are structurally useful but not actual fund facts. Strong position-level schema evidence plus fund economics, valuation inputs, unfunded commitments and financing terms."
5,SRC479,Financials_Partners_Group_Global_MultiAsset_Fund_Annual_Report.pdf,35,Equity Trustees / Partners Group Global Multi-Asset Fund (ARSN 603 696 171),COMPLETE,report_context | statement_line | investment_position | financing,,,Primary statements pp7-10; private-market strategy p12; risk/exposure tables pp18-23; fair-value hierarchy and Level 3 rollforward pp24-26; underlying fund fair values p27/29; credit facility p27; derivatives p28; unit transactions p29-30,Complete TXT read all 35 pages. Underlying private-market exposure is concentrated in Partners Fund PPN and Global Senior Loan Master Fund; financing and fair-value structures recur cleanly.
6,SRC393,Financials_Georgia_Tech_Foundation_FY2025_Consolidated.pdf,40,"Georgia Tech Foundation, Inc.",COMPLETE,report_context | statement_line | investment_position | financing,redemption_frequency_raw | notice_period_raw,,Core statements pp5-7; investment classification/valuation pp11-17; debt tables pp21-25; fair value hierarchy with redemption/notice terms pp27-30; Level 3 rollforward p30; derivatives p31; expense allocation pp37-38; liquidity/commitments pp39-40,"Complete TXT read all 40 pages; targeted high-value sections reread in full. Strong endowment allocator evidence: PE/VC/growth/opportunistic credit/RE/natural resources exposures, $329.47m remaining private commitments, 173 partnerships, liquidity/redemption terms and multiple debt instruments."
7,SRC039,Financials_Connecticut_Innovations_FY2021.pdf,44,"Connecticut Innovations, Incorporated (a component unit of the State of Connecticut)",COMPLETE,report_context | statement_line | investment_position,,,Primary statements pp11-16; program/fund structures pp17-20; PE valuation methods pp20-23; portfolio investments by fund p24; industry mix and loan portfolio p25; loan-loss rollforward p26; off-balance equity/loan commitments p38,Complete TXT read all 44 pages via full-page mapper with high-value sections reread in full. Venture/credit program data fits existing investment and statement structures; entity lending was not misclassified as entity financing.
8,SRC451,Financials_RicheyMay_Digital_Asset_Fund_Template_2025.pdf,49,Richey May & Co.,COMPLETE,report_context | statement_line | investment_position | financing | capital_activity,,,Template primary statements pp3-10; detailed securities/digital/private-company schedules pp4-7; fair-value hierarchy/Level 3 inputs pp24-29; derivative position tables pp30-35; collateralized financing p36; partner capital/liquidity terms pp47-48; financial highlights p49,Complete TXT read all 49 pages via full-page mapper with core tables reread in full. Template demonstrates SAFT/SAFE/digital/private-company/derivative variants without requiring crypto-specific schema fields; optional line-of-credit and partner liquidity fields reinforce existing structures.
9,SRC482,Financials_Copenhagen_Infrastructure_Partners_Annual2023.pdf,52,Copenhagen Infrastructure Partners P/S,COMPLETE,report_context | statement_line | financing,,,Fund strategy/AUM overview pp7-11; consolidated statements pp17-19; management fee by managed fund p20; staff/admin expense and remuneration pp20-21; debt/contingencies p24; managed-fund and related-party lists/transactions pp25-27; 5-year manager KPIs p27,Complete TXT read all 52 pages via full-page mapper with core financial/managed-fund sections reread. Manager-company economics are useful but not yet recurrent enough for a new child record; fund-by-fund fees are representable as statement rows with source labels.
10,SRC308,Financials_Brederode_Annual_Report_FY2024.pdf,60,Brederode SA,COMPLETE,report_context | statement_line | investment_position | capital_activity | financing,,,PE performance/rollforward p15; geography/currency/style distributions pp16-20; 20-year calls/distributions p18; principal PE managers with FV/uncalled commitments p21; listed-security positions p24; credit structure p25/50/52; separate statements pp36-37; PE valuation methodology pp44-45; vintage/geography commitment tables p48,"Complete TXT read all 60 pages via full-page mapper with private-equity/financial-risk sections reread in full. Strong evidence for manager_name at investment grain, recurring uncalled commitments, investment style/geography, and dated call/distribution activity."
11,SRC605,Performance_abrdn_Private_Equity_Opportunities_Trust_Annual_Report_FY2023_Sep30.pdf,65,abrdn Private Equity Opportunities Trust plc (renamed Patria Private Equity Trust),COMPLETE,report_context | statement_line | investment_position | financing | capital_activity | portfolio_metric(candidate),vintage_year | multiple_raw | operating_metric_name | operating_metric_value_raw | operating_metric_dimension,portfolio_company_metric candidate,Manager review pp17-23; top funds/private companies pp24-27; investment portfolio pp26-27; audited statements pp48-56; commitments p54; FV hierarchy p56; AIFMD leverage p61,"Complete TXT read all 65 pages; full-page mapper plus detailed reread of investment and financial-statement sections. Exceptionally rich PE data: fund vintages/commitments/cost/FV/net multiple/NAV weight plus underlying company manager, sector, geography and cohort revenue/EBITDA/valuation/leverage metrics."
12,SRC313,Financials_Seraphim_Space_Investment_Trust_Annual_Report_FY2023_Jun.pdf,85,Seraphim Space Investment Trust plc,COMPLETE,report_context | statement_line | investment_position | portfolio_metric(candidate),,portfolio_company_metric candidate reinforced,Investment manager review pp14-24; portfolio snapshot/holdings pp26-30; primary financial statements pp68-69; valuation/FV hierarchy pp73-78; risk/currency/liquidity pp77-80,"Complete TXT read all 85 pages via full-page mapper with investment and financial sections reread. Named SpaceTech holdings include cost, fair value, NAV weight, sub-sector/HQ, stake category, valuation method, funding-round context; portfolio metrics include average revenue growth, bookings growth and cash runway."
