"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"PAIR_F047C88E0AF286AC58001612","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Interest expense","Combined Total","1","reporting_entity","Interest expense","","","","","","","","","March 31, 2018","","","$","interest_expense","Interest expense","55,260","","","","","","55,260","actual","","",""
"PAIR_32943C509201389A0BAB3108","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Interest expense","Versa Capital Fund II, L.P.","1","reporting_entity","Interest expense","","","","","","","","","March 31, 2018","","","$","interest_expense","Interest expense","39,025","","","","","","16,235 39,025 Interest expense","actual","","",""
"PAIR_8918221D70E115F732547648","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Interest expense","Versa Capital Fund II-A, L.P.","1","reporting_entity","Interest expense","","","","","","","","","March 31, 2018","","","$","interest_expense","Interest expense","16,235","","","","","","16,235 39,025 Interest expense","actual","","",""
"PAIR_653743910201C42D52268D34","REJECT","Printed on page 10, but no `income` category exists for financial_statement_observation; the statement prints both `Investment income` (gross) and `Net investment income`.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_A6B4C0CF57E5C5EA4C02058C","REJECT","Printed on page 10, but no `income` category exists for financial_statement_observation; the statement prints both `Investment income` (gross) and `Net investment income`.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_05131304EBB388834F63A94A","REJECT","Printed on page 10, but no `income` category exists for financial_statement_observation; the statement prints both `Investment income` (gross) and `Net investment income`.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_9F24F38EC6DB5C1C709319BD","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Management fees","Combined Total","1","reporting_entity","Management fees","","","","","","","","","March 31, 2018","","","$","management_fee","Management fees","2,374,563","","","","","","2,374,563","actual","","",""
"PAIR_BE9B021929C12F336B0493DC","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Management fees","Versa Capital Fund II, L.P.","1","reporting_entity","Management fees","","","","","","","","","March 31, 2018","","","$","management_fee","Management fees","1,649,387","","","","","","1,649,387 725,176 Management fees","actual","","",""
"PAIR_2916042A27BBD5F67565338D","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Management fees","Versa Capital Fund II-A, L.P.","1","reporting_entity","Management fees","","","","","","","","","March 31, 2018","","","$","management_fee","Management fees","725,176","","","","","","1,649,387 725,176 Management fees","actual","","",""
"PAIR_464B8B004F9EB6D548FF76A2","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net change in unrealized gain on investments","Combined Total","1","reporting_entity","Net change in unrealized gain on investments","","","","","","","","","March 31, 2018","","","$","unrealized_gain_loss","Net change in unrealized gain on investments","(28,572)","","","","","","(28,572)","actual","","",""
"PAIR_072F47900C052DD4707C673B","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net change in unrealized gain on investments","Versa Capital Fund II, L.P.","1","reporting_entity","Net change in unrealized gain on investments","","","","","","","","","March 31, 2018","","","$","unrealized_gain_loss","Net change in unrealized gain on investments","(20,178)","","","","","","(20,178) (8,394) Net change in unrealized gain on invest ments","actual","","",""
"PAIR_36B46CA1EFCD661446147B34","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net change in unrealized gain on investments","Versa Capital Fund II-A, L.P.","1","reporting_entity","Net change in unrealized gain on investments","","","","","","","","","March 31, 2018","","","$","unrealized_gain_loss","Net change in unrealized gain on investments","(8,394)","","","","","","(20,178) (8,394) Net change in unrealized gain on invest ments","actual","","",""
"PAIR_8D86DBD9230E122163E32B91","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net increase in partners' capital resulting from operations","Combined Total","1","reporting_entity","Net increase in partners' capital resulting from operations","","","","","","","","","March 31, 2018","","","$","partners_capital","Net increase in partners' capital resulting from operations","$2,374,016","","","","","","2,374.016","actual","IMAGE_ONLY: value read from page-010.png; the OCR text renders this figure with different digit separators, so the cited line cannot reproduce it character for character.","",""
"PAIR_066EDF5895C9231210458A26","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net increase in partners' capital resulting from operations","Versa Capital Fund II, L.P.","1","reporting_entity","Net increase in partners' capital resulting from operations","","","","","","","","","March 31, 2018","","","$","partners_capital","Net increase in partners' capital resulting from operations","$1,704,087","","","","","","1,704,087","actual","","",""
"PAIR_6B415D8FA4675A35A6452E49","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net increase in partners' capital resulting from operations","Versa Capital Fund II-A, L.P.","1","reporting_entity","Net increase in partners' capital resulting from operations","","","","","","","","","March 31, 2018","","","$","partners_capital","Net increase in partners' capital resulting from operations","$669,929","","","","","","669,929","actual","","",""
"PAIR_AE6627602771E4CD5B1D787E","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net investment income","Combined Total","1","reporting_entity","Net investment income","","","","","","","","","March 31, 2018","","","$","net_investment_income","Net investment income","1,808,592","","","","","","1,808.592","actual","IMAGE_ONLY: value read from page-010.png; the OCR text renders this figure with different digit separators, so the cited line cannot reproduce it character for character.","",""
"PAIR_532D24A75C2CB0741DBAC2C2","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net investment income","Versa Capital Fund II, L.P.","1","reporting_entity","Net investment income","","","","","","","","","March 31, 2018","","","$","net_investment_income","Net investment income","1,304,781","","","","","","503,811 1,304.781 1,808.592","actual","IMAGE_ONLY: value read from page-010.png; the OCR text renders this figure with different digit separators, so the cited line cannot reproduce it character for character.","",""
"PAIR_6F84CD63DCF699D54483F566","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net investment income","Versa Capital Fund II-A, L.P.","1","reporting_entity","Net investment income","","","","","","","","","March 31, 2018","","","$","net_investment_income","Net investment income","503,811","","","","","","503,811 1,304.781 1,808.592","actual","","",""
"PAIR_1E5A2581557CB10E0392D1C7","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net realized gain on investments","Combined Total","1","reporting_entity","Net realized gain on investments","","","","","","","","","March 31, 2018","","","$","realized_gain_loss","Net realized gain on investments","593,996","","","","","","593,996","actual","","",""
"PAIR_4ABA0CC4E5BD2D6CC9F64C0C","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net realized gain on investments","Versa Capital Fund II, L.P.","1","reporting_entity","Net realized gain on investments","","","","","","","","","March 31, 2018","","","$","realized_gain_loss","Net realized gain on investments","419,484","","","","","","419,484 174,512 Net realized gain on investments","actual","","",""
"PAIR_DEDF8F61865E4AF9D43D6E5B","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Net realized gain on investments","Versa Capital Fund II-A, L.P.","1","reporting_entity","Net realized gain on investments","","","","","","","","","March 31, 2018","","","$","realized_gain_loss","Net realized gain on investments","174,512","","","","","","419,484 174,512 Net realized gain on investments","actual","","",""
"PAIR_531AD823F2B16600730A1669","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Other expenses","Versa Capital Fund II, L.P.","1","reporting_entity","Other expenses","","","","","","","","","March 31, 2018","","","$","fund_expense","Other expenses","105,328","","","","","","43,818 105,328 Other expenses","actual","","",""
"PAIR_28417405D7F0F940E525615F","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 10 from the page image.","2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","10","TABLE","Combining Statement of Operations","Combining Statement of Operations","Other expenses","Versa Capital Fund II-A, L.P.","1","reporting_entity","Other expenses","","","","","","","","","March 31, 2018","","","$","fund_expense","Other expenses","43,818","","","","","","43,818 105,328 Other expenses","actual","","",""
