"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"PAIR_1F5FBC5084E719E51163543B","ACCEPT_B","page-001.png HIGHLIGHTS sidebar prints ~9.00% Annualized Distribution Rate(2); A missed the cell. Sidebar is not a table so no one-table family constraint; an annualized distribution rate is performance_observation/yield.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_2C2E2DA921C7A1F3666FBA9D","MERGE","Neither lane is complete. A appended the document subtitle to the entity name; the printed entity on page-001.png is Antares Private Credit Fund (ABDC), which B has. A's manager, vintage and period_end are printed facts B blanked: the sidebar prints 11/05/2024 Inception Date and the footer prints March 2026, and page-001.png prints Antares Capital as the manager, so the populated side wins on each. Section heading HIGHLIGHTS is printed.","2026-08-22.2","SRC606","e56a601bd6fc8250db7675fad2cc69f72aa70aa5ff4dd63cc0176ad602482f9f","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","document_context","1","DOCUMENT","HIGHLIGHTS","DOCUMENT","DOCUMENT","","1","document","Antares Private Credit Fund (ABDC)","","","","Antares Capital","","Antares Private Credit Fund (ABDC)","2024","","March 31, 2026","March 31, 2026","","","","","","","","","","","Antares Private Credit Fund (ABDC)","actual","","","","","","","",""
"PAIR_D20E3224E6AAD98A0B3C8C1D","MERGE","Neither candidate is right. The printed form on page-001.png is ~$2,057.7M, so A's ~$2,057.7 strips the printed scale letter. On family, nav is wrong because the fund reports NAV Per Share of $24.69 separately and carries 1.12x net leverage, so total investments is not net asset value; aum is reserved for a manager's or plan's stated assets under management. Investments carried at fair value is performance_observation/fair_value. Sidebar is not a table, so no one-table constraint. as_of is March 31, 2026 per the page body, not April 30. Backfill 2026-09-01: qualifier columns filled from the lanes' agreed reading.; Source review: p6: Represents total loan commitments as of April 30, 2026. (Footnote 3 identifies loan commitments, not fair value.) | p6: Represents total loan commitments as of April 30, 2026. (The category follows the footnote definition.) | p6: Represents total loan commitments as of April 30, 2026. (The specific footnote date supersedes the report heading.) | p6: Represents total loan commitments as of April 30, 2026. (The definition accompanies the classified amount.)","2026-08-22.2","SRC606","e56a601bd6fc8250db7675fad2cc69f72aa70aa5ff4dd63cc0176ad602482f9f","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","1","NARRATIVE","HIGHLIGHTS","HIGHLIGHTS","Investments","","1","fund","Antares Private Credit Fund (ABDC)","","","","","","","","","","April 30, 2026","","$ millions","commitment","Investments","~$2,057.7M","","","","Represents total loan commitments as of April 30, 2026.","","~$2,057.7M","actual","","","","3","","","portfolio_total",""
"PAIR_DB35954A5A8A1B3A077D9F5E","MERGE","page-001.png HIGHLIGHTS sidebar prints ~9.43% ITD Annualized Total Net Return(1); A missed the cell. performance_observation/return is correct.; Source review: p6: 1. As of April 30, 2026. (The return cites footnote 1 and the April value also appears on page 2.)","2026-08-22.2","SRC606","e56a601bd6fc8250db7675fad2cc69f72aa70aa5ff4dd63cc0176ad602482f9f","Quarterly_Report","04-quarterly-report","CORE","B","performance_observation","1","NARRATIVE","HIGHLIGHTS","HIGHLIGHTS","ITD Annualized Total Net Return","","1","fund","Antares Private Credit Fund (ABDC)","","","","","","","","","","April 30, 2026","","","return","ITD Annualized Total Net Return","~9.43%","%","","","","","~9.43%","actual","REPAIRED_VALUE_FORMAT","","","1","annualized","net","",""
"PAIR_D95E1E584F8B81A18911323A","REJECT","page-001.png prints 420+ Portfolio Companies(4). position_observation/quantity requires one named individual security or holding; a count of portfolio companies is not a named position, and no other allowed Quarterly_Report category covers a company count.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_DFF1F9FE0418E3C611205738","ACCEPT_B","Both read ~97.8% Senior Secured identically; only source_section and source_table differ. page-001.png prints the sidebar heading HIGHLIGHTS, so the populated side is right and A's run-together TXT artifact is wrong.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_DC55E47A1A42130CBC22FEE0","REJECT","Prose restating a table cell is the same observation, not a second row. The narrative NAV $24.69 repeats the Distribution Summary As of April 30, 2026 NAV Per Share cell already extracted on page 2.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_F44E7710D963C070F66FF02A","REJECT","Prose restating a table cell. The narrative 1-month total net return of 0.38% for March repeats the Total Net Return Summary As of March 31, 2026 / 1 Month cell already extracted on page 2.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_2222C28C06AD5C3E49DE61DF","REJECT","Prose restating a table cell. The narrative 9.43% ITD total net return repeats the Total Net Return Summary As of April 30, 2026 / ITD (Annualized) cell already extracted on page 2.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_575D32ABC833156257AB0A8E","REJECT","Prose restating a table cell. The narrative ~9.00% annualized distribution rate repeats the Distribution Summary As of April 30, 2026 / Annualized Distribution Rate cell already extracted on page 2.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
