"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"PAIR_A0B031FDF2AE6775A535910E","MERGE","Both lanes transcribed footnote (1) under the investor-composition graph. The row keeps the printed marker as its label; the section heading lane B recorded is printed above the graph; a printed note measures nothing and carries no subject.","2026-09-01.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","definition_context","1","FOOTNOTE","Serving the University","GRAPH 1 Investor Composition","(1)","","1","","","","","","","","","","","","June 30, 2025","","","","","","","","The Long Term Pool’s cash portfolio invests in the Short Term Pool. The Short Term Pool market value reflected above excludes Long Term Pool assets.","","Short Term Pool market value","(1) The Long Term Pool’s cash portfolio invests in the Short","actual","","","","1","","","",""
"PAIR_07158E0AC8885FA35E5919EC","ACCEPT_B","printed and eligible: the narrative states the Long Term Pool AUM figure in its own sentence, a printed cell distinct from the donut centre. A missed the narrative block entirely.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_882F2F1F182045A16DD0730C","ACCEPT_B","printed and eligible: the narrative states the Short Term Pool AUM figure in its own sentence, distinct from the donut centre. A missed the narrative block.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_8A29EEA57B28BAC407276E24","REJECT","duplicate of the same printed cell published from Extractor A row University of Virginia Endowment Market Value. One printed cell is one row.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_50BC9EBB95658930E61072FA","REJECT","duplicate of the same printed cell published from Extractor A row University Strategic Investment Fund Market Value. One printed cell is one row.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_141CCAB57652E641D7F2FEE7","REJECT","duplicate of the same printed cell published from Extractor A row University Other Long-Term Assets Market Value. One printed cell is one row.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_90A03864C018CC599AC13D5C","REJECT","duplicate of the same printed cell published from Extractor A row University-Associated Organizations Market Value. One printed cell is one row.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_DB785F0D9DF6713563CFB187","ACCEPT_B","printed and eligible: the sentence Since 2022 UVIMCO assets under management have grown from $13.6 billion is a printed narrative cell distinct from the Graph 2 bar. A missed the narrative block.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_9426CACB4A36C585D52742C3","ACCEPT_B","printed and eligible: the closing figure of the same printed sentence, distinct from the Graph 2 bar. A missed the narrative block.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_00DC49E8BC999E3304A5326A","MERGE","neither is complete. The row describes the whole document so it sits under no section: source_section is blank and the document title carries source_table. subject_type is document, so subject_name is the document's printed title (A), not the issuer's name (B) which already occupies manager_name. Quote widened to the printed masthead so it evidences the title it names.","2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","document_context","1","DOCUMENT","","Annual Report 2025 Highlights","DOCUMENT","","1","document","Annual Report 2025 Highlights","","","","University of Virginia Investment Management Company","University of Virginia","Long Term Pool","","","","June 30, 2025","","","","","","","","Annual Report 2025 Highlights","","","University of Virginia Investment Management Company ANNUAL REPORT 2025 HIGHLIGHTS","actual","","","","","","","",""
