fund_term_clause_id,fund_id,lp_id,lp_name,share_class_name,perspective,term_scope,overrides_fund_term_id,effective_date,effective_end_date,source_document_id,metric_id,clause_title,value_raw,value_text,currency,provenance_type,source_page,source_anchor,extractor_version,synthetic_parameter_set_id,record_status
CLAUSEINT_083CD23A468F9EC40F53,FUND_0001,,,,fund_total,base_fund,,2022-01-01,2034-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_85593885ED844E4DC632,FUND_0002,,,,fund_total,base_fund,,2006-01-01,2018-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_E179037915D3DF5EBF7E,FUND_0003,,,,fund_total,base_fund,,2009-01-01,2021-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_0C9A39349BF7E42DDDBA,FUND_0004,,,,fund_total,base_fund,,2007-01-01,2019-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_F3345985A7E91E442F2A,FUND_0005,,,,fund_total,base_fund,,2020-01-01,2032-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_047711A15F67303B3A9A,FUND_0006,,,,fund_total,base_fund,,2016-01-01,2028-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_419E402B7FAC49FCA0EE,FUND_0007,,,,fund_total,base_fund,,2018-01-01,2030-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_8C4C6F6668958FF5CF99,FUND_0008,,,,fund_total,base_fund,,2019-01-01,2031-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_A4DAE4E1211CC20E846D,FUND_0009,,,,fund_total,base_fund,,2021-01-01,2033-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_75921180229600683877,FUND_0010,,,,fund_total,base_fund,,2007-01-01,2019-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_C4DA23C16687E1E19D0F,FUND_0011,,,,fund_total,base_fund,,2015-01-01,2027-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
