source_id,claim_type,source_kind,source,locator,finding,qualification,checked_date
L01,ESTABLISHED,local-file,../docs/RELEASE-COUNTS.csv,Named count rows,36 completed documents; 693 pages; 8613 evidence records; 945 fund identities; 451 source-only periods; 804 source-only metrics.,"Recorded local snapshot, not an independent re-extraction or current public V2 count.",2026-09-08
L02,ESTABLISHED,local-measurement,../data/extracted/fund-level/fund_master.csv; ../data/extracted/fund-level/manager_master.csv; ../data/extracted/fund-level/fund_periods.csv; ../data/extracted/fund-level/fund_metrics.csv,"Join metrics.input_record_ids first period reference to fund_period_id, then fund_id and fund_manager_id","268 metric-bearing periods on 268 funds, all lp_position. 68 link to 44 manager IDs; 12 linked managers have at least two such funds. Only 18 metric-bearing periods have canonical_asset_class private_equity.","Attribution count uses existing master IDs only, before downstream validation; web identity research may contain additional links. Not a full GP track record.",2026-09-08
L03,ESTABLISHED,local-measurement,../data/synthetic/clean/fund_master.csv; ../data/synthetic/clean/manager_master.csv; ../data/synthetic/clean/fund_periods.csv,"Count fund_id, manager_id and fund_manager_id; group by manager and strategy","800 synthetic funds; 200 managers; four funds per manager; 32797 periods. Manager-strategy groups: 495 with one fund, 131 with two, 13 with three, one with four. Canonical strategy and period fee/method qualifier columns are blank.","Use declared synthetic strategy, preserve unspecified measurement basis, and avoid claiming homogeneous four-fund manager strategies.",2026-09-08
L04,ESTABLISHED,local-measurement,../data/synthetic/clean/fund_periods.csv,Maximum as_of_date; filter fund_total at that date,"Latest date 2026-06-30; 693 fund-total records and distinct funds at that date, out of 800 fund identities.",107 funds have older endpoints; no invented roll-forward in the proposed common-date screen.,2026-09-08
L05,ESTABLISHED,design-preflight,../data/synthetic/clean/fund_periods.csv; ../data/synthetic/clean/fund_master.csv,2026-06-30 fund_total; strategy/currency/five-year vintage peers; exclude own manager; 10 funds/5 other managers; manager eligibility 2 funds and 75% of known strategy funds,460 funds meet the peer-size rules; 400 manager-strategy groups have some eligible funds; 51 meet the two-fund/75% coverage rule.,"Preflight only: maturity, full quality checks, metric reconciliation and publication were not executed by this probe. No final scoring population or score claim.",2026-09-08
L06,ESTABLISHED,local-code,../src/generate/generate_synthetic_funds.py,generate_clean_universe; inspected lines 1217-1269,Strategy is drawn for each fund; manager_id groups every four fund indexes; terminal performance is generated from configured strategy and lifecycle inputs.,This construction does not establish a real or calibrated manager-skill factor. Do not infer predictive validation from the generated grouping.,2026-09-08
L07,ESTABLISHED,local-measurement,../data/csv/fund_periods.csv; ../data/csv/pme_results.csv,Count provenance_type and synthetic_parameter_set_id,1392 periods: 451 EXTRACTED plus 941 SYNTHETIC. All 1882 PME/Direct Alpha rows are SYNTHETIC.,Integrated completion uses real fund identities; this roadmap keeps its generated outcomes outside real-manager ratings.,2026-09-08
L08,ESTABLISHED,local-code,../src/analytics/run_round04_analytics.py; ../src/common/finance.py,calculate_fund_metrics; _quality_state; xirr,Existing functions calculate multiples and dated IRR. _quality_state requires a coherent core R01-R15 run and records failed periods.,A recorded status requires matching inputs; additional downstream eligibility and provenance checks remain necessary. Private helper reuse is isolated in one adapter.,2026-09-08
L09,ESTABLISHED,local-file,../data/extracted/audit/attribute-changes.csv; ../data/normalization/fund-attributes-matrix.csv,FUND_0003; SRC407; source_page 5; Consolidated Schedule of Investments,The source-supported attribute records inherit Secondary Investments from the schedule grouping for New Mountain Partners IV.,The lookup records the source heading. Its meaning as the underlying GP strategy is not established by that lookup alone; require a scope review before real GP comparisons.,2026-09-08
L10,ESTABLISHED,local-git,../.git,git status --short --branch and git log -1,Local commit e6b9ac48b28b491bb9332afa1e89f330c3e8f759; main; initially clean tracked worktree.,Read before creating this planning package; not a claim that the public repository matches this local state.,2026-09-08
