lineage_id,target_table,target_record_id,target_field,target_value,provenance_type,source_table,source_record_id,source_document_id,source_anchor,formula_id,synthetic_parameter_set_id,imputation_method,precedence,notes
LIN_DB58FC5639D7AD34C042,benchmark_returns,RET_SPY_19930201,*row,0.0071125790028,DERIVED,benchmark_return_candidates,RET_SPY_19930201,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930201; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_F8EB72A204A483C54D23,benchmark_returns,RET_SPY_19930202,*row,0.00211805403502,DERIVED,benchmark_return_candidates,RET_SPY_19930202,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930202; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_CC2D554A4500595ADEBD,benchmark_returns,RET_SPY_19930203,*row,0.0105707792399,DERIVED,benchmark_return_candidates,RET_SPY_19930203,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930203; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_80A86ECE757870A540D5,benchmark_returns,RET_SPY_19930204,*row,0.00418371137373,DERIVED,benchmark_return_candidates,RET_SPY_19930204,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930204; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_8067B34B5EB7B72B5AD4,benchmark_returns,RET_SPY_19930205,*row,-0.000693840908219,DERIVED,benchmark_return_candidates,RET_SPY_19930205,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930205; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_CCF6897C89A8B4C9DA7C,benchmark_returns,RET_SPY_19930208,*row,0,DERIVED,benchmark_return_candidates,RET_SPY_19930208,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930208; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_62BB3C9539A291CCAE75,benchmark_returns,RET_SPY_19930209,*row,-0.00694939353726,DERIVED,benchmark_return_candidates,RET_SPY_19930209,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930209; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_3CEFFD00000648CA0B3E,benchmark_returns,RET_SPY_19930210,*row,0.00139983799357,DERIVED,benchmark_return_candidates,RET_SPY_19930210,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930210; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_C1A0F07634A4681C7AE3,benchmark_returns,RET_SPY_19930211,*row,0.00489130510615,DERIVED,benchmark_return_candidates,RET_SPY_19930211,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930211; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_A50AE7593AA21CC3F7CD,benchmark_returns,RET_SPY_19930212,*row,-0.00764934214084,DERIVED,benchmark_return_candidates,RET_SPY_19930212,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930212; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_BD039F4A070470351249,benchmark_returns,RET_SPY_19930216,*row,-0.0252277332027,DERIVED,benchmark_return_candidates,RET_SPY_19930216,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930216; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_03EC21506FF7DF95484A,benchmark_returns,RET_SPY_19930217,*row,-0.00071955802247,DERIVED,benchmark_return_candidates,RET_SPY_19930217,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930217; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_EB23D0A0AB1E50FA4419,benchmark_returns,RET_SPY_19930218,*row,-0.000718958895806,DERIVED,benchmark_return_candidates,RET_SPY_19930218,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930218; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_D7D36948C2B38223B58E,benchmark_returns,RET_SPY_19930219,*row,0.00360009615377,DERIVED,benchmark_return_candidates,RET_SPY_19930219,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930219; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_823BB71E974241F57F7B,benchmark_returns,RET_SPY_19930222,*row,0.00358654535017,DERIVED,benchmark_return_candidates,RET_SPY_19930222,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930222; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_BAFAF24C8618BC8E1EDC,benchmark_returns,RET_SPY_19930223,*row,-0.000714809035376,DERIVED,benchmark_return_candidates,RET_SPY_19930223,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930223; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_C115F048368BEB47FF6D,benchmark_returns,RET_SPY_19930224,*row,0.0128760837421,DERIVED,benchmark_return_candidates,RET_SPY_19930224,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930224; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_79D67170E3948A1D5A58,benchmark_returns,RET_SPY_19930225,*row,0.00211805403502,DERIVED,benchmark_return_candidates,RET_SPY_19930225,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930225; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_D8907A243C0A87FE3478,benchmark_returns,RET_SPY_19930226,*row,0.00140946850139,DERIVED,benchmark_return_candidates,RET_SPY_19930226,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930226; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_89B684774CEAEE1C0E3C,benchmark_returns,RET_SPY_19930301,*row,-0.00281520358255,DERIVED,benchmark_return_candidates,RET_SPY_19930301,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930301; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_BF3F80B4CAD7423AE418,benchmark_returns,RET_SPY_19930302,*row,0.0148202332186,DERIVED,benchmark_return_candidates,RET_SPY_19930302,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930302; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_2C44A5B0AFB85C181A7F,benchmark_returns,RET_SPY_19930303,*row,0.00417276816918,DERIVED,benchmark_return_candidates,RET_SPY_19930303,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930303; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_EB8D5B0665232488A7FA,benchmark_returns,RET_SPY_19930304,*row,-0.00554133957317,DERIVED,benchmark_return_candidates,RET_SPY_19930304,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930304; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
LIN_642E63F370A4D1D84CDF,benchmark_returns,RET_SPY_19930305,*row,-0.00278448634933,DERIVED,benchmark_return_candidates,RET_SPY_19930305,PMKT_07BB7F4215B1F6A8,data/public_markets/staging/benchmark_return_candidates.csv:RET_SPY_19930305; rights_status=DEMONSTRATION_ONLY; use_status=DEMO_PROXY_ONLY,PUBLIC_MARKET_CANDIDATE_PROMOTION_V1,,,PUBLIC_DEMO_PROXY,Candidate return is unchanged; policy restricts it to demonstration use.
