"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"PAIR_093D5878D446581D41FC8935","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_8AA79B18D2CAF84B8AC950CB","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_10FA6F14375628760597748A","MERGE","The Change column spans the two dated columns the page prints, so it takes period_start 12/31/2019 and as_of_date 12/31/2020; a number with no date cannot be placed in time.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Capital Committed","Change","1","portfolio","Portfolio Snapshot","","","","","","","","12/31/2019","12/31/2020","12/31/2020","","$ millions","commitment","Capital Committed","$103.8","","","","","","Capital Committed $2,700.1 $2,803.9 $103.8","actual","","",""
"PAIR_101187A9350CD75B371B0484","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_A9A64A4ECC7FABADB2BADC8A","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_789D35BBBBBBE61BFAD7764D","MERGE","The Change column spans the two dated columns the page prints, so it takes period_start 12/31/2019 and as_of_date 12/31/2020; a number with no date cannot be placed in time.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Capital Distributed","Change","1","portfolio","Portfolio Snapshot","","","","","","","","12/31/2019","12/31/2020","12/31/2020","","$ millions","distribution","Capital Distributed","$175.7","","","","","","Capital Distributed $2,386.4 $2,562.1 $175.7","actual","","",""
"PAIR_B39F8F3EF353AEC4D0BFEF13","ACCEPT_A","document_context: A carries the printed report title as subject_name, the adviser whose name is printed on every page as manager_name and the asset owner the cover names as investor_name, where B names the institution as the document and puts the literal 'DOCUMENT' in source_table, which the page never prints. Both lanes filed the row on page 2 and it stays there: page 1 is a bare cover carrying no observation, and a page whose only row is the context row cannot be marked ELIGIBLE_DATA_EXTRACTED.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_81278F6BE64477266EF23E65","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_97B458F233B249AB459192A0","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_8694B3116CED721E6F651038","MERGE","The Change column spans the two dated columns the page prints, so it takes period_start 12/31/2019 and as_of_date 12/31/2020; a number with no date cannot be placed in time.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Market Value","Change","1","portfolio","Portfolio Snapshot","","","","","","","","12/31/2019","12/31/2020","12/31/2020","","$ millions","nav","Market Value","($39.8)","","","","","","Market Value $1,586.4 $1,546.6 ($39.8)","actual","","",""
"PAIR_C10B370A04E63066F57C2306","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_A768CEFC579D9933BBD191CA","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_BF5EFEFCC47FC4C9CCA864E6","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_625F4DF35D462EB9BF3BF7AC","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_936B5DD9CF8ED08674DDDAD5","MERGE","The Change column spans the two dated columns the page prints, so it takes period_start 12/31/2019 and as_of_date 12/31/2020; a number with no date cannot be placed in time.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Paid-In Capital","Change","1","portfolio","Portfolio Snapshot","","","","","","","","12/31/2019","12/31/2020","12/31/2020","","$ millions","paid_in_capital","Paid-In Capital","$190.5","","","","","","Paid-In Capital $2,761.4 $2,951.9 $190.5","actual","","",""
"PAIR_9FA696A8FD49F47663828F78","MERGE","source_section: the page prints its own heading (Portfolio Snapshot); a heading INSIDE the table that governs the rows beneath it is those rows' asset_class, never source_section. A plan's stated total size is aum under performance_observation, not nav, which belongs to a capital-account table. subject_name takes the name printed on the cited page, in full and at the most specific level; a name assembled from the institution is not printed there. Page 2 prints no name for the plan, so the subject takes the printed heading of the panel the row sits in.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","performance_observation","2","NARRATIVE","Portfolio Snapshot","Client Overview","Plan Size","","1","reporting_entity","Client Overview","","","","","","","","","","December 31, 2020","","billion","aum","Plan Size","$14.2","","","","","","$14.2 billion","actual","","",""
"PAIR_053E6D6256484D2D2BA551C3","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_F67BB7D0A29FAAF7CDCD2E3A","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_36CBBA0832F2535AF4A8714B","MERGE","evidence_quote takes the full printed line over the bare value: the line proves this number, the bare digits prove only that they occur somewhere on the page.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Total Portfolio Net IRR","12/31/2019","1","portfolio","Portfolio Snapshot","","","","","","","","","","12/31/2019","","","irr","Total Portfolio Net IRR","11.56%","%","","","","","Total Portfolio Net IRR 11.56% 10.48% (108) bps","actual","","",""
"PAIR_59B0BDB085BFB5D44BA8CF10","MERGE","evidence_quote takes the full printed line over the bare value: the line proves this number, the bare digits prove only that they occur somewhere on the page.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Total Portfolio Net IRR","12/31/2020","1","portfolio","Portfolio Snapshot","","","","","","","","","","12/31/2020","","","irr","Total Portfolio Net IRR","10.48%","%","","","","","Total Portfolio Net IRR 11.56% 10.48% (108) bps","actual","","",""
"PAIR_17D48CD1D8EA65A50AD95AC0","MERGE","The Change column spans the two dated columns the page prints, so it takes period_start 12/31/2019 and as_of_date 12/31/2020; a number with no date cannot be placed in time. evidence_quote takes the full printed line over the bare value: the line proves this number, the bare digits prove only that they occur somewhere on the page.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Total Portfolio Net IRR","Change","1","portfolio","Portfolio Snapshot","","","","","","","","12/31/2019","12/31/2020","12/31/2020","","","irr","Total Portfolio Net IRR","(108)","bps","","","","","Total Portfolio Net IRR 11.56% 10.48% (108) bps","actual","","",""
"PAIR_73B49FAF7D5C98FA2FD7903D","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_276197F557D2EBBB81A89EF3","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_6C5C9FFA3D07604DAE13C08B","MERGE","The Change column spans the two dated columns the page prints, so it takes period_start 12/31/2019 and as_of_date 12/31/2020; a number with no date cannot be placed in time.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Total Value Multiple","Change","1","portfolio","Portfolio Snapshot","","","","","","","","12/31/2019","12/31/2020","12/31/2020","","","tvpi","Total Value Multiple","(0.05x)","x","","","","","Total Value Multiple 1.44x 1.39x (0.05x)","actual","","",""
"PAIR_83B4F981C63C6A7DA2F27DD6","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_A53B5F39AEAC27C559787290","ACCEPT_B","B matches the printed cell on every field.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_EA674343B7C72ADC6B88079B","MERGE","The Change column spans the two dated columns the page prints, so it takes period_start 12/31/2019 and as_of_date 12/31/2020; a number with no date cannot be placed in time.","2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Unfunded Commitment","Change","1","portfolio","Portfolio Snapshot","","","","","","","","12/31/2019","12/31/2020","12/31/2020","","$ millions","unfunded_commitment","Unfunded Commitment","($49.8)","","","","","","Unfunded Commitment $946.6 $896.8 ($49.8)","actual","","",""
