input_value,output_value,decided_by,evidence,note,unit_hint,preferred_family,qualified,required_dimensions,disposition
commitment,Capital committed to the fund by the investor or in total.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379|src/catalog/simple_pdf_extraction/csv_wide_contract.py:420,,currency,fund_economics_observation,no,,promoted
paid_in_capital,"Capital contributed to date (PIC, paid-in, contributed capital).","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fund_economics_observation,no,,promoted
paid_in_capital_multiple,"Paid-in capital as a multiple of commitment, printed in the multiples block beside TVPI, RVPI, and DPI. The value exceeds 1.00 where the fund recycles capital or contributes outside commitment. The contributed amount uses paid_in_capital.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,"Read off SRC457 page 4 and page 9: the PIC column sits beside TVPI, RVPI, and DPI and its footnote states that PIC multiples may exceed 1.00 due to recycling.",x,fund_economics_observation,no,,evidence_only
contribution,"One contribution or a period's contributions, as a flow.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fund_economics_observation,no,,promoted
distribution,"Capital distributed to date or in a period, including a printed component such as preferred return when the page lists it inside distributions.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fund_economics_observation,no,,promoted
nav,"Residual value of one fund, LP position, or share class at a date, printed as NAV, remaining value, reported value, or ending market value at that grain.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fund_economics_observation,yes,value_scope,promoted
unfunded_commitment,"Commitment not yet called (unfunded, remaining, uncalled).","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fund_economics_observation,no,,promoted
recallable_distribution,Distributed capital the fund may call again.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fund_economics_observation,no,,promoted
tvpi,Total value to paid-in: (distributions + NAV) / paid-in.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,x,fund_economics_observation,no,,promoted
dpi,Distributions to paid-in.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,x,fund_economics_observation,no,,promoted
rvpi,Residual value to paid-in: NAV / paid-in.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,x,fund_economics_observation,no,,promoted
moic,"Multiple of invested capital: total value / invested cost, gross or as printed.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,x,fund_economics_observation,no,,evidence_only
ownership_percentage,"Share of a vehicle, firm, or partnership held by the subject.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,fund_economics_observation,no,,evidence_only
income,"Investment, dividend, interest, or net income of a fund or capital account for a period, recorded as a currency amount; percent-based distribution and investment yields use yield.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fund_economics_observation,no,,promoted
fee,"A fee amount charged to a fund or account when the page states no finer kind (management fees, commissions, advisor fees).","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fund_economics_observation,no,,promoted
