record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
report_context,entity_name,"VERSA CAPITAL FUND II, L.P.; VERSA CAPITAL FUND II-A, L.P.",Exact printed name of the reporting entity or fund.,SRC034,20,20,20,100.0,27,1.35,HIGH,Keys financial facts to the correct fund/entity.,CORE,,SRC034,1,
report_context,period_end,"March 31, 2018",Printed report/statement period end or as-of date.,SRC034,20,20,20,100.0,24,1.20,HIGH,Supports time-series comparison of financial position and performance.,CORE,,SRC034,1,
report_context,currency,$,Printed currency code or symbol for monetary values.,SRC034,20,20,20,100.0,20,1.00,HIGH,Prevents mixing monetary amounts across currencies.,CORE,,SRC034,3,Source prints dollar symbol rather than ISO code; preserve source representation.
report_context,audit_status,Unaudited,Printed audit/review status.,SRC034,20,20,20,100.0,20,1.00,HIGH,Distinguishes audited from unaudited financial evidence.,CORE,,SRC034,1,
statement_line,statement_type,"Statement of Assets, Liabilities, and Partners' Capital; Statement of Operations; Statement of Cash Flows; Statement of Changes in Partners' Capital; Schedule of Investments; fair-value hierarchy; investment-property schedule; financing/debt table; segment table","Exact printed statement, table, schedule, or structured section name that supplies record context.",SRC034,20,20,20,100.0,304,15.20,HIGH,Allows reusable statement-line extraction without one schema field per accounting caption.,CORE,,SRC034,3,
statement_line,line_item,"Total Investments, at fair value; Management fees; Net investment income; Distributions; Cash; Contribution; Distribution; Return of Capital; Preferred Return; transaction/activity labels",Exact printed row/caption/activity/metric label identifying what a source-reported value represents.,SRC034,20,20,20,100.0,2951,147.55,HIGH,"Preserves detailed accounting, expense, cash-flow, commitment and transaction semantics without creating one business field per publisher caption.",CORE,,SRC034,3,
statement_line,amount_raw,"$425,000,000; 2,374,563; (288,008)",Exact printed monetary/numeric value for a statement line.,SRC034,20,20,20,100.0,4895,244.75,HIGH,"Captures assets, liabilities, income, expenses, gains/losses and capital movements.",MERGED,value_raw,SRC034,3,Checkpoint-20: generalized to value_raw.
statement_line,column_label,"General Partner; Limited Partners; Versa Capital Fund II, L.P.; Versa Capital Fund II-A, L.P.; Combined; Eliminations","Exact printed column/subcolumn label identifying period, entity, class, scenario, or other table dimension for a value.",SRC034,20,20,20,100.0,3560,178.00,MEDIUM,Preserves multi-entity and partner-level statement structure without dedicated columns.,CORE,,SRC034,6,
investment_position,investment_label,Principal Operating Business,Exact printed row/investment identifier or descriptive label available for an investment row.,SRC034,20,20,4,20.0,75,18.75,MEDIUM,Keys recurring investment-level cost/value facts even when names are redacted.,MERGED,investment_name,SRC034,4,Names appear redacted/omitted in this source; label may be business description. | Checkpoint-5 terminology consolidation into investment_name.
investment_position,acquisition_date,Date of initial investment,Printed acquisition/initial investment date.,SRC034,20,20,1,5.0,7,7.00,MEDIUM,Supports holding age and investment-vintage analysis.,DROP,,SRC034,4,Checkpoint-10: <2/10 documents and not an indispensable standardized key. | Checkpoint-15: below 3 independent documents and <20% prevalence.
investment_position,business_description,Principal Operating Business,Printed operating-business/company description associated with the investment.,SRC034,20,20,7,35.0,83,11.86,MEDIUM,Identifies what the fund actually owns when a formal investment name is absent.,MERGED,investment_name,SRC034,4,Checkpoint-15: free-text business description folded into exact investment_name/label evidence; sector/type carry reusable dimensions.
investment_position,geography,Headquarters; collateral state/region,Printed headquarters/geographic label or location.,SRC034,20,20,15,75.0,349,23.27,MEDIUM,Supports portfolio geographic exposure analysis.,CORE,,SRC034,4,
investment_position,sector,Industry; property type,Printed industry/sector classification.,SRC034,20,20,15,75.0,347,23.13,MEDIUM,Supports portfolio sector exposure analysis.,CORE,,SRC034,4,
investment_position,cost_raw,Cost,Exact printed investment cost/basis.,SRC034,20,20,13,65.0,474,36.46,MEDIUM,Supports unrealized value creation and portfolio cost exposure.,CORE,,SRC034,4,
investment_position,fair_value_raw,Fair value,Exact printed investment fair value.,SRC034,20,20,20,100.0,1059,52.95,MEDIUM,Measures current portfolio exposure and valuation.,CORE,,SRC034,4,
investment_position,percent_value_raw,% of Partners' Capital,Exact printed investment weight/percentage relative to the stated portfolio basis.,SRC034,20,20,5,25.0,35,7.00,MEDIUM,Supports concentration analysis without recalculating weights.,MERGED,portfolio_weight_raw,SRC034,4,Checkpoint-5 terminology consolidation into portfolio_weight_raw.
capital_activity,investor_name,Pennsylvania Public School Employees' Retirement System,Exact printed investor/LP name for a capital activity schedule.,SRC034,20,20,1,5.0,1,1.00,HIGH,Links commitment and cash-flow activity to the LP position.,DROP,,SRC034,11,Checkpoint-10: <2/10 documents and not an indispensable standardized key. | Checkpoint-15: low-frequency event-specific scalar; dated activity remains extractable as generic statement lines.
capital_activity,activity_date,Date,Printed date of a contribution/distribution/capital activity item.,SRC034,20,20,3,15.0,100,33.33,MEDIUM,Enables source-faithful LP cash-flow chronology and later IRR analysis.,DROP,,SRC034,11,Checkpoint-15: low-frequency event-specific scalar; dated activity remains extractable as generic statement lines.
capital_activity,activity_type,Contributions; Distributions; Preferred Return; Return of Capital; Additional Return,Printed activity/component label.,SRC034,20,20,18,90.0,241,13.39,MEDIUM,"Separates calls, distributions and distribution components without creating one field per component.",MERGED,line_item,SRC034,11,Checkpoint-20: activity labels are the same reusable source-label concept as line_item; capital_activity group eliminated.
capital_activity,commitment_raw,"Committed Capital (PSERS) $150,000,000.00",Exact printed commitment amount or commitment-basis scalar in the capital schedule.,SRC034,20,20,15,75.0,172,11.47,HIGH,"Supports commitment, funded and unfunded exposure analysis.",MERGED,value_raw,SRC034,11,Checkpoint-20: separate capital-activity scalar removed; commitment values represented by generic statement/table rows or investment unfunded_commitment_raw.
statement_line,unit,%; days; $,Exact printed unit/currency-scale/percentage/multiple/time unit attached to a value when stated.,SRC379,20,20,20,100.0,1463,73.15,HIGH,"Preserves percentages, days and other non-currency measurement semantics.",CORE,,SRC379,17,
investment_position,asset_class,Short-term investments; Fixed income; Equities; Hedged strategies; Private investments; Real assets; Hedge funds; Buyout funds; Venture funds; Growth equity; Opportunistic credit; Natural resources,Printed asset-class/strategy classification for an investment row or aggregate investment record.,SRC379,20,20,18,90.0,224,12.44,HIGH,Supports allocator exposure by alternative asset class.,CORE,,SRC379,16,
investment_position,valuation_method,NAV practical expedient; Level 1; Level 2; Level 3,Printed valuation basis/method applied to an investment or investment class.,SRC379,20,20,19,95.0,223,11.74,MEDIUM,Shows how private assets are valued and how much relies on manager/NAV estimates.,CORE,,SRC379,14,
investment_position,unfunded_commitment_raw,UNFUNDED COMMITMENTS; remaining outstanding commitments to private investments,Exact printed unfunded commitment value associated with an investment class/position.,SRC379,20,20,15,75.0,277,18.47,HIGH,Measures remaining capital-call exposure without calculation.,CORE,,SRC379,17,
financing,financing_type,senior notes; lines of credit,Printed financing/facility type.,SRC379,20,20,17,85.0,60,3.53,HIGH,Identifies leverage/liquidity instruments supporting the allocator or fund.,EXTENSION,,SRC379,20,
financing,counterparty_name,"Massachusetts Mutual Life Insurance Company; The Bank of New York Mellon; Morgan Stanley Bank, N.A.","Printed lender, purchaser, or financing counterparty.",SRC379,20,20,14,70.0,40,2.86,HIGH,Links financing exposure to counterparties.,EXTENSION,,SRC379,20,
financing,facility_size_raw,"$40,000,000; $30,000,000",Printed committed/original facility or financing size.,SRC379,20,20,15,75.0,54,3.60,HIGH,Measures source-reported borrowing capacity or issuance size.,EXTENSION,,SRC379,20,
financing,balance_raw,"$26,925,110; no outstanding borrowings",Printed outstanding principal/balance or explicit zero balance.,SRC379,20,20,17,85.0,76,4.47,HIGH,Measures actual leverage drawn at the reporting date.,EXTENSION,,SRC379,20,
financing,interest_rate_raw,3.85%,Printed financing interest/coupon rate.,SRC379,20,20,14,70.0,73,5.21,HIGH,Supports cost-of-leverage analysis.,EXTENSION,,SRC379,20,
financing,maturity_date,"October 31, 2037; December 2024; November 2025",Printed financing maturity/expiry date.,SRC379,20,20,14,70.0,61,4.36,HIGH,Supports refinancing and liquidity-risk analysis.,EXTENSION,,SRC379,20,
financing,covenant_status_raw,in compliance with its covenants,Printed covenant requirement/status disclosure.,SRC379,20,20,11,55.0,20,1.82,MEDIUM,Identifies source-reported covenant compliance and leverage constraints.,EXTENSION,,SRC379,21,
report_context,manager_name,Versa Capital Management; DUMAC; ICG Alternative Investment Limited; Principal managers of the Private Equity portfolio; General Partner,Exact printed investment manager/adviser/General Partner name associated with the reporting entity or an underlying investment relationship.,SRC287,20,20,17,85.0,90,5.29,HIGH,Links fund/entity economics and underlying private-market exposure to the responsible manager/GP.,CORE,,SRC287,1,Late discovery backfilled across SRC034 and SRC379.
investment_position,investment_type,fund investments; co-investments; direct investments; subsidiary undertakings; common/preferred stock; corporate bonds; crypto assets; NFT; SAFT; SAFE; options; futures; swaps; private/listed; stage; taxonomy/sub-sector; first mortgage; credit loan; REO,Printed investment/position type or structural category.,SRC287,20,20,18,90.0,696,38.67,HIGH,"Separates fund interests, directs/co-investments and other private-market position structures.",CORE,,SRC287,13,Backfilled SRC379: direct holdings and interests in funds are explicitly described.
investment_position,position_size_raw,Principal amount or shares; principal balance,"Exact printed quantity, principal, or other position-size value for an investment row.",SRC087,20,20,16,80.0,362,22.62,HIGH,Shows economic position size independently from cost and fair value.,CORE,,SRC087,7,Late discovery backfilled across SRC034/SRC379/SRC287: no comparable row-level position-size field found.
investment_position,investment_name,investment/fund/company names; Principal Operating Business when name is redacted,"Exact printed name or identifying label of a fund, portfolio company, security, or other investment row.",SRC034,20,20,17,85.0,713,41.94,MEDIUM,Identifies the specific underlying investment for position-level analysis.,CORE,,SRC034,4,Checkpoint-5 standardized successor; occurrence history inherited from merged source concept.
investment_position,portfolio_weight_raw,% of Partners' Capital; % of net assets; portfolio concentration,Exact printed percentage weight of an investment or investment class relative to the stated portfolio/net-asset/capital basis.,SRC034,20,20,18,90.0,677,37.61,MEDIUM,Supports concentration analysis using source-reported weights without recalculation.,CORE,,SRC034,4,Checkpoint-5 standardized successor; occurrence history inherited from merged source concept.
investment_position,redemption_frequency_raw,Redemption or liquidation; Daily; Monthly; Quarterly; Illiquid,Exact printed redemption/liquidation frequency or liquidity status for an investment or investment class.,SRC393,20,20,9,45.0,61,6.78,HIGH,Shows whether alternative assets can be exited and at what source-reported cadence.,CANDIDATE,,SRC393,28,Late discovery at document 6; backfilled across documents 1-5 before admission.
investment_position,notice_period_raw,Days notice; 1–5; 3–10; 5–90 day notice,Exact printed notice period required to redeem/liquidate an investment.,SRC393,20,20,9,45.0,49,5.44,HIGH,Quantifies source-reported liquidity constraints of hedge/private-market allocations.,CANDIDATE,,SRC393,28,Late discovery at document 6; backfilled across documents 1-5 before admission.
investment_position,vintage_year,Vintage; Year of Investment; subscription year,Exact printed investment/fund vintage or first investment year.,SRC605,20,20,3,15.0,109,36.33,HIGH,"Supports private-market maturity, pacing and vintage cohort analysis.",CANDIDATE,,SRC605,26,Late discovery at document 11; documents 1-10 backfilled from TXT evidence. 
investment_position,multiple_raw,Net multiple; gross multiple; 2.5x original cost,Exact printed source-reported investment/fund value multiple.,SRC605,20,20,2,10.0,103,51.50,HIGH,Supports source-reported PE value creation without recalculating MOIC/TVPI.,DROP,,SRC605,26,Late discovery at document 11; documents 1-10 backfilled from TXT evidence.  | Checkpoint-15: below 3 independent documents and <20% prevalence.
portfolio_metric,operating_metric_name,Revenue growth; EBITDA growth; median valuation multiple; median leverage multiple; Average portfolio company revenue growth; bookings growth; cash runway; segment revenue; operating profit; rental income; repair/maintenance cost; rentable square feet/units; % leased; AUM; management fee income; performance fees; EBITDA equivalent; CLO spread; O/C cushion; annualized IRR; cash received as % cost,"Exact printed operating, growth, valuation, or leverage metric label for an underlying portfolio company, asset cohort, or operating segment.",SRC605,20,20,6,30.0,65,10.83,HIGH,Shows source-reported operating performance and valuation/leverage characteristics beneath fund-level financial results.,EXTENSION,,SRC605,18,Late discovery at document 11; documents 1-10 backfilled from TXT evidence. 
portfolio_metric,operating_metric_value_raw,15.6%; 23.4%; 14.0x; 4.3x,Exact printed value for a portfolio-company operating/valuation metric.,SRC605,20,20,6,30.0,181,30.17,HIGH,Provides source-reported operating and valuation evidence for PE portfolio quality.,EXTENSION,,SRC605,18,Late discovery at document 11; documents 1-10 backfilled from TXT evidence. 
portfolio_metric,operating_metric_dimension,Top 10; Top 30; Top 50 underlying portfolio companies; geography x property segment; asset manager; CLO transaction; year,Exact printed company/cohort/segment/geography dimension to which an operating metric applies.,SRC605,20,20,6,30.0,181,30.17,HIGH,Preserves the denominator/cohort behind operating metrics.,EXTENSION,,SRC605,18,Late discovery at document 11; documents 1-10 backfilled from TXT evidence. 
statement_line,value_raw,"$425,000,000; 2,374,563; (288,008); committed capital; commitment amount; other printed numeric/scalar cells","Exact printed scalar value for a financial statement, table, schedule, note, or repeated fact row; preserves signs/formatting as printed.",SRC034,20,20,20,100.0,5067,253.35,HIGH,"Captures source-reported assets, liabilities, income, expenses, commitments, returns and other financial facts without creating one schema field per caption.",CORE,,SRC034,3,Checkpoint-20 standardized successor to amount_raw; commitment_raw folded in because commitment is a labeled printed scalar at generic table grain.
