"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"PAIR_CA95E4CE12451E2E1BA32939","ACCEPT_A","Cover prints the MEKETA logo, 'California State Teachers Retirement System (CalSTRS)', 'September 3, 2025' and 'Semi-Annual Private Equity Executive Summary (Open Session)'. A carries manager_name MEKETA, the printed cover date and the printed document title as source_table; B leaves manager_name blank and adds portfolio_name 'CalSTRS PE Program', which the cover does not print.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_0CAC35765D0561D7CF81B4BC","ACCEPT_A","The footnote is printed with the marker '1' beside its text. A's row label is that printed marker and matches the definition_keys the data rows carry; B labels it with the sentence the marker sits in, which is not the footnote's printed name.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_4113283BF043D216A6D46725","ACCEPT_A","The footnote is printed with the marker '2' beside its text. A's row label is that printed marker and matches the definition_keys the data rows carry; B labels it with the sentence the marker sits in, which is not the footnote's printed name.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_AC72557D0A164924EAA74275","MERGE","Printed cell: 'CalSTRS portfolio returned over 13% per year since program inception.' asset_class 'Private Equity' from the printed banner 'Semi-Annual Private Equity Executive Summary (Open Session)' (A); as_of_date blanked because page 2 prints no as-of date and A carried the cover date 'September 3, 2025' (B blank is right); metric_name 'return' rather than B's verb 'returned'.","2026-09-01.2","SRC602","2ed0fcbdba2e9190c119988a53fc7336f39f37d2a2126c4d16706021ebba7db8","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","performance_observation","2","NARRATIVE","Why Invest in Private Equity?","Why Invest in Private Equity?","CalSTRS portfolio","","1","portfolio","CalSTRS portfolio","Private Equity","","","","","","","","","","since program inception","","return","return","13%","%","","","","","CalSTRS portfolio returned over 13% per year since program inception.","actual","","","","","unstated","unstated","",""
"PAIR_940765B9B78D83AA03EDEB18","MERGE","Printed heading is 'Industry Trends' with a superscript footnote marker; the marker is a reference mark, not part of the title, so it is stripped from source_section and source_table (B's form) while the row keeps A's printed marker '1' as its label and definition key.","2026-09-01.2","SRC602","2ed0fcbdba2e9190c119988a53fc7336f39f37d2a2126c4d16706021ebba7db8","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","definition_context","3","FOOTNOTE","Industry Trends","Industry Trends","1","","1","other_printed_scope","","","","","","","","","","","","","","","","","","","S&P Global Market Intelligence.","","","S&P Global Market Intelligence.","actual","","","","1","","","",""
"PAIR_C5F773AECCF247C67E623FEE","MERGE","Printed heading is 'Industry Trends' with a superscript footnote marker; the marker is a reference mark, not part of the title, so it is stripped from source_section and source_table (B's form) while the row keeps A's printed marker '2' as its label and definition key.","2026-09-01.2","SRC602","2ed0fcbdba2e9190c119988a53fc7336f39f37d2a2126c4d16706021ebba7db8","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","definition_context","3","FOOTNOTE","Industry Trends","Industry Trends","2","","1","other_printed_scope","","","","","","","","","","","","","","","","","","","State Street Private Equity Index.","","","State Street Private Equity Index.","actual","","","","2","","","",""
"PAIR_39F9E0CA7FCFD9081FFD563C","ACCEPT_A","The footnote is printed with the marker '1'; A's label is that printed marker and resolves against the definition_keys on the data rows.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_20170B38DCFAB8500E6B8977","ACCEPT_A","The footnote is printed with the marker '2'; A's label is that printed marker and resolves against the definition_keys on the data rows.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_75D596F462B2F59A1A91A2A3","ACCEPT_A","The footnote is printed with the marker '3'; A's label is that printed marker and resolves against the definition_keys on the data rows.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_DDEA6DE570BB0628C566CF23","ACCEPT_A","Printed cell 'CalSTRS PE Program' / '1 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_0D80F24AB0CC9ED3C500F33A","ACCEPT_A","Printed cell 'CalSTRS PE Program' / '10 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_A03425D495A9017A50524F92","ACCEPT_A","Printed cell 'CalSTRS PE Program' / '3 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_81CFE29651ABCBD6E09974B9","ACCEPT_A","Printed cell 'CalSTRS PE Program' / '5 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_D63A45A188502EC64CBDD7AF","ACCEPT_A","Printed cell 'CalSTRS PE Program' / 'Since Inception (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_39B6663BF7509A78D978F51A","REJECT","Duplicate of the same printed footnote already published under its printed marker. B labels it 'Custom Benchmark', the term the footnote explains; the footnote is printed with a numeric marker and is one row, not two.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_7E83EE5C0394109685AA368F","ACCEPT_A","Printed cell 'Custom Benchmark' / '1 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_F72570165F6088053FA6F407","ACCEPT_A","Printed cell 'Custom Benchmark' / '10 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_0A585D2E4FE14E61D56A762A","ACCEPT_A","Printed cell 'Custom Benchmark' / '3 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_AFDD6E769233138A59F6F39C","ACCEPT_A","Printed cell 'Custom Benchmark' / '5 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_E7E1CA5BADACF3B721E2988D","ACCEPT_A","Printed cell 'Custom State Street Index' / '1 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_0DD619861E3FFE3D09B09599","ACCEPT_A","Printed cell 'Custom State Street Index' / '10 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_7A62F9EC5C1A8DFEB5FA8E0D","ACCEPT_A","Printed cell 'Custom State Street Index' / '3 Year (%)'. Rows agree except asset_class: the page banner prints 'Semi-Annual Private Equity Executive Summary (Open Session)', so A's populated 'Private Equity' is right and B's blank is wrong. as_of_date 'March 31, 2025' is the printed table title on both sides.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
